src,dst
0,1
1,2
1,3
1,4
1,5
5,7
5,8
5,9
5,10
6,11
6,12
9,13
10,14
13,17
13,18
13,19
14,20
21,22
24,25
26,27
26,28
28,29
28,30
30,31
30,32
30,33
32,36
32,37
33,39
34,40
34,41
36,42
37,43
38,44
38,45
41,46
41,47
41,48
42,49
48,50
50,52
51,53
51,54
51,55
52,56
52,57
52,58
58,59
58,60
61,62
61,63
64,67
64,68
65,69
65,70
66,71
66,72
67,73
69,74
71,75
73,76
73,77
74,78
74,79
74,80
75,81
82,87
82,88
82,89
83,90
83,91
83,92
84,93
84,94
84,95
85,96
85,97
86,98
86,99
87,100
90,101
98,102
