id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,28,0,57,34,packages\stackback\formatstack.js,0,0
2,FunctionDeclaration,nan,-1,2,1,28,0,55,1,packages\stackback\formatstack.js,0,1
4,Identifier,FormatStackTrace,-1,-1,-1,28,9,28,25,packages\stackback\formatstack.js,0,2
5,Identifier,error,-1,-1,-1,28,26,28,31,packages\stackback\formatstack.js,0,3
6,Identifier,frames,-1,-1,-1,28,33,28,39,packages\stackback\formatstack.js,0,4
8,BlockStatement,nan,-1,-1,-1,28,41,55,1,packages\stackback\formatstack.js,0,5
9,AssignmentExpression,nan,-1,-1,-1,57,0,57,33,packages\stackback\formatstack.js,0,6
10,VariableDeclaration,nan,-1,-1,-1,29,4,29,19,packages\stackback\formatstack.js,0,7
11,TryStatement,nan,-1,-1,-1,30,4,38,5,packages\stackback\formatstack.js,0,8
12,ForStatement,nan,-1,-1,-1,39,4,53,5,packages\stackback\formatstack.js,0,9
13,ReturnStatement,nan,1,-1,-1,54,4,54,28,packages\stackback\formatstack.js,0,10
14,MemberExpression,nan,-1,-1,-1,57,0,57,14,packages\stackback\formatstack.js,0,11
15,Identifier,FormatStackTrace,-1,-1,-1,57,17,57,33,packages\stackback\formatstack.js,0,12
17,BlockStatement,nan,-1,-1,-1,39,44,53,5,packages\stackback\formatstack.js,0,13
18,CallExpression,nan,1,-1,-1,54,11,54,27,packages\stackback\formatstack.js,0,14
19,Identifier,i,-1,-1,-1,39,20,39,21,packages\stackback\formatstack.js,0,15
20,MemberExpression,nan,-1,-1,-1,39,24,39,37,packages\stackback\formatstack.js,0,16
21,VariableDeclaration,nan,-1,-1,-1,40,8,40,30,packages\stackback\formatstack.js,0,17
22,VariableDeclaration,nan,-1,-1,-1,41,8,41,17,packages\stackback\formatstack.js,0,18
23,TryStatement,nan,-1,-1,-1,42,8,51,9,packages\stackback\formatstack.js,0,19
26,MemberExpression,nan,-1,-1,-1,54,11,54,21,packages\stackback\formatstack.js,0,20
27,CallExpression,nan,1,-1,-1,52,8,52,36,packages\stackback\formatstack.js,0,21
29,MemberExpression,nan,-1,-1,-1,52,8,52,18,packages\stackback\formatstack.js,0,22
31,Identifier,line,-1,-1,-1,52,31,52,35,packages\stackback\formatstack.js,0,23
32,Program,nan,-1,-1,-1,4,0,45,2,packages\stackback\index.js,1,24
33,VariableDeclaration,nan,-1,-1,-1,4,0,4,48,packages\stackback\index.js,1,25
35,AssignmentExpression,nan,-1,-1,-1,15,0,45,1,packages\stackback\index.js,1,26
36,MemberExpression,nan,-1,-1,-1,15,0,15,14,packages\stackback\index.js,1,27
37,FunctionExpression,nan,-1,1,1,15,17,45,1,packages\stackback\index.js,1,28
38,Identifier,err,-1,-1,-1,15,26,15,29,packages\stackback\index.js,1,29
