src,same_file,jaccard_val,dst
60,0,-1.0,242
28,1,-1.0,25
140,1,1.0,100
141,1,1.0,100
120,1,1.0,100
122,1,1.0,100
183,0,-1.0,1313
153,1,1.0,99
155,1,1.0,99
157,1,1.0,99
175,1,1.0,98
174,1,1.0,100
399,1,-1.0,244
483,1,-1.0,492
325,1,-1.0,358
488,1,-1.0,238
489,1,-1.0,234
490,1,-1.0,238
327,1,-1.0,238
410,1,1.0,194
366,1,-1.0,234
331,0,-1.0,535
331,1,-1.0,232
331,1,-1.0,238
335,1,-1.0,372
383,1,-1.0,238
348,1,-1.0,242
351,1,-1.0,238
553,0,-1.0,238
1388,0,-1.0,25
1395,0,-1.0,19
1397,0,-1.0,17
1500,1,-1.0,1510
1569,1,-1.0,1589
1572,1,-1.0,1593
1501,1,-1.0,1512
1502,1,-1.0,1515
1503,1,-1.0,1517
1504,1,-1.0,1519
1583,1,-1.0,1607
1584,1,-1.0,1609
1505,1,-1.0,1521
1688,1,1.0,1612
1716,1,1.0,1612
1715,1,0.0,1669
1703,1,-1.0,1707
1683,1,1.0,1669
1630,1,-1.0,1639
1506,1,-1.0,1523
1764,1,-1.0,1765
