src,dst
512,1219
1387,234
932,1746
254,572
1449,1732
1510,1512
1191,17
1476,1732
1296,1126
588,1639
962,1276
811,1237
22,225
1386,1732
1771,1519
1047,1515
797,1589
1701,594
390,795
837,679
1041,677
796,661
1472,978
1057,1174
176,1593
1601,916
253,98
180,658
25,1770
1436,1669
853,795
1332,896
274,644
683,244
58,242
422,856
297,1188
1276,1612
344,1329
736,914
1534,644
805,194
1617,1512
320,978
86,533
1499,270
1379,372
778,25
1330,1323
958,1186
237,1186
88,194
51,607
799,1239
912,99
211,1169
214,829
70,1515
547,1321
753,238
280,673
854,250
523,1174
794,234
196,919
205,1323
1513,976
377,723
1740,677
69,817
225,1115
643,98
992,236
984,194
855,194
715,533
89,244
660,1739
1728,372
1749,916
206,644
557,1276
241,492
1431,1313
1294,856
118,1078
1698,894
86,856
678,270
856,372
1346,896
1237,1169
1353,227
145,892
787,1589
1169,1313
1722,607
1614,856
1072,914
779,1521
1162,194
1147,246
527,19
1122,1319
1293,1517
663,607
737,994
1158,1748
1538,644
1492,679
983,250
967,976
319,1519
1484,737
580,856
374,570
1294,992
87,1268
1603,1523
680,658
770,1739
1406,1512
1472,1244
817,1242
232,1186
319,572
1223,786
1350,194
1258,1732
1138,1133
1051,1589
484,1317
1151,533
1460,1333
1600,1268
1718,1319
179,1319
1378,607
210,17
1247,679
450,1221
425,1115
1086,19
754,911
1115,1639
195,98
547,192
1329,1331
1062,890
1005,919
1543,1510
380,1333
165,1169
1741,443
1277,1239
1189,1329
334,505
641,17
1467,856
1532,1221
872,658
50,227
993,98
1061,19
1180,600
1670,976
1473,793
1612,443
1534,25
1476,572
1085,1765
448,1589
311,1219
1611,735
1521,673
530,1317
893,728
770,234
207,607
785,1244
1156,1323
1365,1078
196,1169
1741,1333
1451,1521
560,1765
825,1268
1695,248
229,1135
1164,1732
812,728
969,1080
149,492
1157,992
158,673
1763,1317
1420,1242
1104,1746
369,1319
997,829
372,856
497,976
919,1589
1529,248
137,19
131,607
1361,658
836,609
1774,642
281,896
1589,1512
859,761
145,248
56,896
1626,227
1225,673
514,1669
1069,761
350,1748
576,25
579,911
1110,677
1749,658
974,609
1382,533
1189,1325
27,1327
230,673
1293,817
696,1707
726,994
1450,737
1224,978
397,270
187,1707
214,658
230,192
629,919
927,677
969,1169
1097,19
1757,194
1086,728
144,1276
369,976
1762,673
160,1519
249,1060
1769,1510
517,1669
132,1593
1595,1589
1330,890
1102,1327
446,594
667,675
180,1186
323,19
913,1607
1047,1589
330,98
1227,1217
407,1707
592,978
303,1126
1427,896
1489,992
1036,1276
1269,1639
1711,1219
184,17
912,1133
993,1080
1767,572
1774,1115
1699,25
156,1060
857,1748
3,1512
1609,1510
305,786
1228,1115
1057,723
1706,229
1662,1078
1270,1609
1602,1512
484,236
62,1607
439,535
1327,675
449,892
384,443
1270,728
1733,1739
58,1126
1108,372
1471,911
177,892
1406,1765
837,1239
757,194
1481,1242
1656,1510
591,916
1563,1244
477,1244
160,1313
445,858
970,234
698,570
349,661
771,677
349,919
777,570
1083,1188
1662,1589
1721,1770
480,442
150,25
202,1728
729,17
1244,1268
1020,673
1598,1523
1531,978
642,1639
408,916
1670,234
1707,229
1176,25
895,99
1292,1327
289,831
117,1593
1346,1770
1329,735
1244,1135
9,1169
24,192
111,1115
1044,242
349,574
504,232
160,1609
677,831
890,234
1441,1242
976,248
1589,1510
434,1078
1701,1268
679,607
675,250
1598,1242
1597,99
1295,270
1451,533
208,1519
1154,976
1487,600
1129,776
1770,442
1429,1217
621,574
1712,856
1346,1217
581,1327
1094,443
1486,831
467,244
1273,442
1292,642
1320,1770
1436,1519
319,1060
634,1315
413,1325
254,1517
302,679
1718,19
165,978
259,1315
1269,1327
1127,1510
898,574
1751,890
361,776
1766,795
1526,192
1031,914
1626,776
668,1060
1230,99
1061,1512
830,244
126,600
1711,735
451,492
1670,1242
1440,817
108,358
647,1133
637,1237
589,1237
354,644
1174,1612
116,1593
1759,1707
525,1331
1475,661
933,1728
726,270
721,1609
1691,1242
1075,442
957,98
1080,856
912,607
1772,223
1039,1080
434,914
1542,894
1328,1221
707,242
329,761
1160,776
227,728
878,890
106,1323
1585,735
1530,892
349,916
306,600
1147,270
297,896
389,1748
229,856
1202,1327
520,442
771,1327
386,1321
1759,1770
1382,892
447,1313
309,572
829,1237
388,607
451,1221
250,1329
283,1728
458,232
1203,817
423,1239
179,1728
1609,19
17,98
1017,1589
70,1239
88,19
454,1237
105,1325
652,1607
1169,1133
1450,1126
471,572
1421,223
147,1748
249,1317
391,1639
740,1268
112,1593
1043,1593
875,225
20,492
710,1313
1726,270
454,98
1516,1319
132,1607
214,1523
900,994
1739,1115
573,98
509,911
229,1242
151,25
1096,1333
1689,1593
534,250
590,1217
1361,1331
666,99
1706,99
