src,same_file,jaccard_val,dst
1744,0,-1,673
803,0,-1,658
1403,0,-1,574
1388,0,-1,723
1025,0,-1,270
1400,0,-1,1244
1571,1,-1,1707
851,0,0.0,192
1703,1,-1,1517
672,0,-1,238
1392,0,-1,242
1300,0,-1,795
860,0,-1,229
1508,0,-1,1748
1622,0,-1,1748
483,0,-1,1244
1704,1,-1,1519
1250,0,-1,1593
1507,0,-1,1331
1389,0,-1,25
1059,0,-1,1593
1304,0,-1,1221
1404,0,-1,658
940,0,0.0,99
622,0,-1,227
1236,0,0.0,1669
1010,0,-1,735
947,0,-1,242
568,0,0.0,98
1649,0,-1,776
1397,0,-1,831
366,0,-1,1519
1015,0,-1,679
1027,0,-1,829
745,0,-1,600
1703,1,-1,1510
939,0,-1,609
1402,0,-1,786
655,0,-1,1523
567,0,-1,246
1066,0,-1,894
427,0,-1,1276
646,0,-1,1765
742,0,-1,223
646,0,-1,1519
1234,0,-1,786
1304,1,-1,1331
1141,0,-1,505
617,0,-1,1319
1715,0,-1,761
