id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,85,1,packages\stream-http\index.js,1,0
2,VariableDeclaration,nan,-1,-1,-1,1,0,1,44,packages\stream-http\index.js,1,1
3,VariableDeclaration,nan,-1,-1,-1,2,0,2,40,packages\stream-http\index.js,1,2
4,VariableDeclaration,nan,-1,-1,-1,3,0,3,29,packages\stream-http\index.js,1,3
5,VariableDeclaration,nan,-1,-1,-1,4,0,4,49,packages\stream-http\index.js,1,4
6,VariableDeclaration,nan,-1,-1,-1,5,0,5,24,packages\stream-http\index.js,1,5
7,VariableDeclaration,nan,-1,-1,-1,7,0,7,18,packages\stream-http\index.js,1,6
17,AssignmentExpression,nan,-1,-1,-1,9,0,40,1,packages\stream-http\index.js,1,7
18,AssignmentExpression,nan,-1,-1,-1,42,0,46,1,packages\stream-http\index.js,1,8
19,AssignmentExpression,nan,-1,-1,-1,48,0,48,34,packages\stream-http\index.js,1,9
20,AssignmentExpression,nan,-1,-1,-1,49,0,49,47,packages\stream-http\index.js,1,10
21,AssignmentExpression,nan,-1,-1,-1,51,0,51,27,packages\stream-http\index.js,1,11
22,AssignmentExpression,nan,-1,-1,-1,52,0,52,32,packages\stream-http\index.js,1,12
23,AssignmentExpression,nan,-1,-1,-1,54,0,54,35,packages\stream-http\index.js,1,13
24,AssignmentExpression,nan,-1,-1,-1,56,0,56,31,packages\stream-http\index.js,1,14
25,AssignmentExpression,nan,-1,-1,-1,58,0,85,1,packages\stream-http\index.js,1,15
26,MemberExpression,nan,-1,-1,-1,9,0,9,12,packages\stream-http\index.js,1,16
27,FunctionExpression,nan,-1,2,1,9,15,40,1,packages\stream-http\index.js,1,17
28,MemberExpression,nan,-1,-1,-1,42,0,42,8,packages\stream-http\index.js,1,18
29,FunctionExpression,nan,-1,2,1,42,11,46,1,packages\stream-http\index.js,1,19
30,MemberExpression,nan,-1,-1,-1,48,0,48,18,packages\stream-http\index.js,1,20
31,Identifier,ClientRequest,-1,-1,-1,48,21,48,34,packages\stream-http\index.js,1,21
32,MemberExpression,nan,-1,-1,-1,49,0,49,20,packages\stream-http\index.js,1,22
33,MemberExpression,nan,-1,-1,-1,49,23,49,47,packages\stream-http\index.js,1,23
34,MemberExpression,nan,-1,-1,-1,51,0,51,10,packages\stream-http\index.js,1,24
35,FunctionExpression,nan,-1,0,0,51,13,51,27,packages\stream-http\index.js,1,25
36,MemberExpression,nan,-1,-1,-1,52,0,52,28,packages\stream-http\index.js,1,26
38,MemberExpression,nan,-1,-1,-1,54,0,54,16,packages\stream-http\index.js,1,27
39,NewExpression,nan,0,-1,-1,54,19,54,35,packages\stream-http\index.js,1,28
40,MemberExpression,nan,-1,-1,-1,56,0,56,17,packages\stream-http\index.js,1,29
41,Identifier,statusCodes,-1,-1,-1,56,20,56,31,packages\stream-http\index.js,1,30
42,MemberExpression,nan,-1,-1,-1,58,0,58,12,packages\stream-http\index.js,1,31
43,ArrayExpression,nan,-1,-1,-1,58,15,85,1,packages\stream-http\index.js,1,32
44,Identifier,opts,-1,-1,-1,9,25,9,29,packages\stream-http\index.js,1,33
45,Identifier,cb,-1,-1,-1,9,31,9,33,packages\stream-http\index.js,1,34
47,BlockStatement,nan,-1,-1,-1,9,35,40,1,packages\stream-http\index.js,1,35
48,Identifier,get,-1,-1,-1,42,20,42,23,packages\stream-http\index.js,1,36
49,Identifier,opts,-1,-1,-1,42,25,42,29,packages\stream-http\index.js,1,37
50,Identifier,cb,-1,-1,-1,42,31,42,33,packages\stream-http\index.js,1,38
52,BlockStatement,nan,-1,-1,-1,42,35,46,1,packages\stream-http\index.js,1,39
54,BlockStatement,nan,-1,-1,-1,51,25,51,27,packages\stream-http\index.js,1,40
55,MemberExpression,nan,-1,-1,-1,54,23,54,33,packages\stream-http\index.js,1,41
56,IfStatement,nan,-1,-1,-1,10,1,13,21,packages\stream-http\index.js,1,42
57,VariableDeclaration,nan,-1,-1,-1,18,1,18,89,packages\stream-http\index.js,1,43
58,VariableDeclaration,nan,-1,-1,-1,20,1,20,48,packages\stream-http\index.js,1,44
59,VariableDeclaration,nan,-1,-1,-1,21,1,21,38,packages\stream-http\index.js,1,45
60,VariableDeclaration,nan,-1,-1,-1,22,1,22,21,packages\stream-http\index.js,1,46
61,VariableDeclaration,nan,-1,-1,-1,23,1,23,28,packages\stream-http\index.js,1,47
62,IfStatement,nan,-1,-1,-1,26,1,27,25,packages\stream-http\index.js,1,48
66,VariableDeclaration,nan,-1,-1,-1,36,1,36,34,packages\stream-http\index.js,1,49
67,IfStatement,nan,-1,-1,-1,37,1,38,24,packages\stream-http\index.js,1,50
68,ReturnStatement,nan,1,-1,-1,39,1,39,11,packages\stream-http\index.js,1,51
69,VariableDeclaration,nan,-1,-1,-1,43,1,43,33,packages\stream-http\index.js,1,52
71,ReturnStatement,nan,1,-1,-1,45,1,45,11,packages\stream-http\index.js,1,53
75,LogicalExpression,nan,-1,-1,-1,26,5,26,37,packages\stream-http\index.js,1,54
76,AssignmentExpression,nan,-1,-1,-1,30,1,30,84,packages\stream-http\index.js,1,55
77,AssignmentExpression,nan,-1,-1,-1,31,1,31,51,packages\stream-http\index.js,1,56
78,AssignmentExpression,nan,-1,-1,-1,32,1,32,34,packages\stream-http\index.js,1,57
80,Identifier,cb,-1,-1,-1,37,5,37,7,packages\stream-http\index.js,1,58
81,Identifier,req,-1,-1,-1,39,8,39,11,packages\stream-http\index.js,1,59
82,CallExpression,nan,0,-1,-1,44,1,44,10,packages\stream-http\index.js,1,60
83,Identifier,req,-1,-1,-1,45,8,45,11,packages\stream-http\index.js,1,61
84,AssignmentExpression,nan,-1,-1,-1,11,2,11,24,packages\stream-http\index.js,1,62
85,UnaryExpression,nan,1,-1,-1,10,5,10,16,packages\stream-http\index.js,1,63
87,AssignmentExpression,nan,-1,-1,-1,27,2,27,25,packages\stream-http\index.js,1,64
88,Identifier,host,-1,-1,-1,26,5,26,9,packages\stream-http\index.js,1,65
