src,dst
1,2
2,3
4,5
4,6
4,7
4,8
4,9
10,11
10,12
12,13
12,14
12,15
15,16
15,17
15,18
15,19
15,20
15,21
15,22
15,23
15,24
15,25
15,26
15,27
15,28
20,29
22,30
24,31
26,32
31,35
32,40
32,41
35,46
44,48
44,49
45,50
47,51
47,52
52,53
53,54
53,55
53,56
59,60
59,61
59,62
59,63
59,64
59,65
59,66
59,67
68,70
68,71
68,72
69,73
69,74
75,76
77,78
77,79
79,80
79,81
81,82
82,83
83,84
85,86
87,88
87,89
90,91
90,92
92,93
92,94
94,95
94,96
96,98
97,99
97,100
97,101
97,102
103,104
103,105
103,106
103,107
103,108
109,110
109,111
110,112
110,113
114,117
114,118
114,119
115,120
115,121
115,122
116,123
118,124
118,125
120,126
120,127
128,131
128,132
128,133
129,134
129,135
129,136
130,137
131,138
134,139
140,142
140,143
141,144
145,146
145,147
145,148
149,150
149,151
150,152
150,153
154,157
154,158
155,159
155,160
155,161
156,162
157,163
157,164
165,168
165,169
165,170
166,171
166,172
166,173
167,174
168,175
171,176
177,179
177,180
178,181
182,183
182,184
182,185
182,186
182,187
182,188
189,191
190,192
190,193
192,194
192,195
195,196
197,203
197,204
198,205
198,206
198,207
199,208
199,209
199,210
200,211
200,212
200,213
201,214
201,215
201,216
202,217
206,218
206,219
209,220
209,221
212,222
212,223
214,224
214,225
226,233
226,234
227,235
228,236
228,237
229,238
230,239
230,240
230,241
231,242
231,243
231,244
232,245
236,246
236,247
239,248
242,249
248,250
249,251
250,252
251,253
252,254
252,255
253,256
258,259
258,260
260,261
260,262
260,263
264,267
264,268
265,269
265,270
266,271
266,272
267,273
267,274
269,275
269,276
271,277
271,278
279,290
279,291
280,292
280,293
281,294
281,295
282,296
282,297
283,298
283,299
284,300
284,301
285,302
285,303
286,304
287,305
287,306
288,307
289,308
290,309
292,310
294,311
294,312
296,313
298,314
300,315
302,316
305,317
