src,dst
221,267
8,269
40,267
39,131
119,150
142,150
10,134
259,134
169,209
84,134
184,110
33,206
176,239
113,192
39,267
50,110
88,242
203,110
82,12
182,171
117,192
27,110
206,209
64,206
105,150
315,168
192,157
248,12
24,110
7,12
32,110
313,212
108,171
99,209
39,269
50,168
186,134
127,260
86,92
213,171
260,131
34,267
22,239
71,267
95,260
188,110
138,209
168,212
223,110
183,168
107,192
203,131
92,206
208,118
127,209
72,209
135,192
205,110
48,168
31,157
278,271
101,206
10,269
138,171
17,118
192,209
208,150
143,168
171,209
172,269
245,242
61,171
184,269
34,12
39,271
15,134
111,260
257,260
54,269
311,260
210,267
234,150
35,157
16,242
103,239
54,271
67,79
96,157
137,157
159,260
159,239
31,92
102,242
145,134
112,150
157,271
111,206
105,12
272,267
122,269
162,269
37,171
299,239
157,171
151,92
22,206
196,269
184,242
119,168
158,168
315,150
267,239
144,192
122,260
254,134
223,209
26,239
254,150
246,271
40,271
222,267
119,271
55,168
260,212
212,79
196,12
262,206
89,206
60,118
81,110
303,168
158,157
245,239
248,271
111,271
222,12
84,92
142,239
176,192
57,206
217,192
206,267
219,212
168,131
52,171
104,271
301,157
251,110
150,134
172,92
113,192
98,269
144,209
220,192
163,12
17,192
74,110
50,212
52,192
73,212
47,267
37,150
263,118
44,171
0,92
100,269
45,171
15,168
59,209
107,157
301,79
66,79
142,150
276,92
17,171
67,269
132,171
125,212
191,267
259,131
274,131
245,269
83,206
299,212
55,12
31,206
78,260
315,206
182,118
185,260
26,79
88,192
170,267
247,92
174,242
45,239
9,168
184,269
138,92
24,134
113,12
138,118
73,171
217,118
174,212
15,79
153,131
60,206
233,79
247,110
206,212
171,212
163,192
142,12
20,212
216,212
93,206
158,131
269,171
48,12
20,92
216,110
312,171
90,271
259,12
103,157
61,239
37,267
16,192
55,12
27,150
62,79
57,206
270,269
163,12
28,206
293,134
50,242
23,192
163,171
