src,same_file,jaccard_val,dst
10,1,-1.0,16
11,1,-1.0,18
70,1,1.0,35
42,1,0.0,35
435,1,-1.0,516
231,0,0.0,35
167,1,1.0,161
234,0,0.0,35
168,1,1.0,161
237,0,0.0,35
169,1,1.0,161
240,0,0.0,35
170,1,1.0,161
243,0,0.0,35
171,1,1.0,161
246,0,0.0,35
172,1,1.0,161
249,0,0.0,35
173,1,1.0,161
252,0,0.0,35
174,1,1.0,161
255,0,0.0,35
175,1,1.0,161
258,0,0.0,35
176,1,1.0,161
261,0,0.0,35
177,1,1.0,161
264,0,0.0,35
178,1,1.0,161
267,0,0.0,35
179,1,1.0,161
270,0,0.0,35
180,1,1.0,161
273,0,0.0,35
181,1,1.0,161
276,0,0.0,35
182,1,1.0,161
279,0,0.0,35
183,1,1.0,161
282,0,0.0,35
184,1,1.0,161
285,0,0.0,35
185,1,1.0,161
288,0,0.0,35
186,1,1.0,161
291,0,0.0,35
187,1,1.0,161
294,0,0.0,35
188,1,1.0,161
297,0,0.0,35
189,1,1.0,161
300,0,0.0,35
190,1,1.0,161
303,0,0.0,35
191,1,1.0,161
306,0,0.0,35
192,1,1.0,161
309,0,0.0,35
193,1,1.0,161
312,0,0.0,35
194,1,1.0,161
315,0,0.0,35
195,1,1.0,161
318,0,0.0,35
196,1,1.0,161
321,0,0.0,35
197,1,1.0,161
324,0,0.0,35
198,1,1.0,161
327,0,0.0,35
199,1,1.0,161
331,0,0.0,35
200,1,1.0,161
335,0,0.0,35
201,1,1.0,161
339,0,0.0,35
202,1,1.0,161
343,0,0.0,35
203,1,1.0,161
347,0,0.0,35
204,1,1.0,161
351,0,0.0,35
205,1,1.0,161
355,0,0.0,35
206,1,1.0,161
359,0,0.0,35
207,1,1.0,161
363,0,0.0,35
208,1,1.0,161
367,0,0.0,35
209,1,1.0,161
370,0,0.0,35
210,1,1.0,161
374,0,0.0,35
211,1,1.0,161
378,0,0.0,35
212,1,1.0,161
381,0,0.0,35
213,1,1.0,161
384,0,0.0,35
214,1,1.0,161
388,0,0.0,35
215,1,1.0,161
392,0,0.0,35
216,1,1.0,161
396,0,0.0,35
217,1,1.0,161
399,0,0.0,35
218,1,1.0,161
402,0,0.0,35
219,1,1.0,161
220,1,1.0,161
221,1,1.0,161
222,1,1.0,161
223,1,1.0,161
224,1,1.0,161
225,1,1.0,161
226,1,1.0,161
227,1,1.0,161
