src,dst
474,16
253,55
248,16
28,16
259,161
470,516
244,516
423,55
398,53
94,161
474,53
251,516
298,55
280,161
141,35
64,35
434,53
365,55
376,53
457,55
91,55
284,161
482,516
131,35
79,35
390,16
410,53
63,18
102,35
407,516
477,16
452,161
422,35
455,53
305,55
68,516
470,53
154,16
271,35
253,161
257,53
430,16
483,55
236,16
453,18
7,516
520,35
260,516
163,16
48,161
95,516
504,161
76,516
317,55
295,55
34,53
430,55
400,516
420,18
62,35
74,55
253,53
418,18
350,516
45,55
334,161
406,18
15,16
473,161
48,18
346,53
278,35
37,35
242,53
491,516
47,53
165,16
457,161
412,161
508,516
407,53
513,18
155,18
113,55
469,161
105,516
412,161
80,35
518,53
156,35
37,16
20,53
488,53
105,516
73,53
502,55
79,18
242,18
430,161
49,18
99,55
80,35
96,18
436,53
38,18
334,16
242,16
238,516
16,516
383,18
40,35
422,35
14,53
329,516
419,18
28,35
342,55
432,55
517,35
512,53
154,53
519,16
440,161
304,516
366,35
114,516
461,16
366,55
102,53
277,53
365,35
353,35
262,161
349,516
391,161
82,16
474,516
298,516
105,35
461,516
236,53
272,161
487,16
405,55
283,161
456,35
62,161
86,55
124,53
476,516
69,18
104,161
112,161
13,55
322,16
496,55
490,35
494,16
59,16
38,53
357,35
373,516
120,516
165,16
274,516
447,161
89,161
269,161
92,161
498,53
244,53
79,35
162,35
401,516
305,35
467,55
120,55
526,35
114,516
455,55
460,18
461,55
90,16
414,16
411,161
483,55
349,53
357,16
238,16
278,16
283,161
152,16
38,55
519,55
383,516
477,55
35,16
395,18
492,18
313,516
463,53
111,18
342,516
271,18
131,161
487,53
105,53
437,53
398,516
462,55
528,55
295,35
166,16
47,161
18,35
263,516
468,516
478,16
130,18
302,53
76,516
449,35
151,55
482,16
496,516
110,35
483,18
409,18
17,53
372,53
113,53
230,16
51,35
496,516
51,55
516,16
480,53
398,53
15,18
409,18
68,18
74,35
251,16
84,53
440,516
498,16
1,35
53,161
456,53
59,516
345,35
511,161
520,16
268,161
442,53
45,53
519,35
462,161
136,161
299,516
345,55
260,53
15,16
484,516
442,55
475,35
420,18
13,35
284,16
260,161
100,55
72,53
244,161
284,516
444,55
444,16
366,16
71,53
56,55
467,516
99,35
411,516
311,18
163,35
442,53
304,53
92,18
290,55
153,53
151,516
87,35
81,161
77,35
415,18
22,16
64,53
92,55
22,16
473,35
293,35
322,53
141,18
382,161
499,18
153,55
490,18
483,53
487,35
88,55
107,516
108,516
98,55
166,53
452,18
523,55
160,161
22,35
277,53
7,516
408,55
247,516
55,16
132,35
123,161
483,516
278,516
95,55
369,35
376,35
111,35
485,161
6,161
305,35
44,53
158,516
325,18
494,516
338,516
322,55
5,18
412,161
155,16
116,53
514,16
247,16
405,18
490,53
280,55
459,53
445,53
97,18
329,35
242,161
148,55
83,16
492,55
108,516
14,516
409,55
346,55
466,35
47,55
232,18
94,161
156,18
484,18
19,161
428,161
159,35
262,35
406,55
383,516
88,55
518,16
259,516
452,516
386,18
114,35
286,55
527,161
424,55
441,16
395,55
395,53
35,53
13,161
349,55
65,161
431,35
83,161
442,161
420,516
5,35
102,16
498,35
419,161
129,16
506,161
232,35
470,18
286,16
238,16
308,53
441,53
342,161
263,53
98,35
43,16
330,16
28,35
278,35
64,16
250,53
132,161
304,18
67,53
289,35
302,16
442,55
69,18
480,161
476,16
283,18
157,161
78,161
73,516
27,18
147,516
