src,same_file,jaccard_val,dst
9,0,0.0,35
133,1,0.0,35
216,0,-1,53
374,1,-1,516
388,0,-1,53
276,0,-1,53
190,0,-1,55
425,1,-1,516
26,0,-1,516
352,0,-1,55
364,0,-1,16
209,0,-1,53
11,0,0.0,161
388,0,-1,16
172,1,-1,516
26,1,-1,16
222,0,-1,16
378,1,0.0,161
240,0,-1,55
300,0,-1,55
206,0,-1,16
285,0,-1,18
403,0,-1,18
359,0,-1,55
429,1,0.0,161
213,0,-1,16
240,0,-1,16
189,0,-1,18
9,1,-1,18
348,1,-1,516
300,0,-1,53
306,0,-1,53
489,0,-1,53
243,1,0.0,161
106,0,0.0,161
318,1,-1,516
497,0,-1,53
393,0,-1,16
181,0,-1,18
371,0,0.0,35
202,0,-1,18
134,1,-1,55
191,0,-1,55
381,1,-1,516
217,0,-1,55
433,1,0.0,161
355,1,-1,516
321,0,-1,16
495,0,0.0,35
429,0,-1,16
26,1,-1,16
433,1,0.0,161
370,1,0.0,161
9,0,-1,55
182,0,-1,18
184,0,-1,55
181,0,0.33333333333333326,35
214,0,-1,53
8,0,-1,53
106,0,-1,16
331,0,-1,53
109,1,-1,53
127,0,-1,516
246,1,-1,516
183,1,-1,516
176,0,-1,55
176,0,-1,18
495,1,-1,516
344,1,0.0,161
215,0,-1,53
421,1,-1,516
276,0,-1,55
340,0,-1,18
356,0,0.0,35
421,1,0.0,161
231,0,-1,53
203,0,-1,16
525,0,-1,55
227,0,-1,55
210,0,-1,16
202,0,0.33333333333333326,35
413,1,0.0,161
109,0,0.0,161
348,1,-1,516
128,1,-1,53
202,0,-1,18
178,0,-1,55
303,0,-1,55
169,0,-1,55
396,1,0.0,161
195,1,-1,516
193,1,-1,516
195,0,0.33333333333333326,35
224,0,0.33333333333333326,35
374,0,-1,55
197,0,-1,18
192,0,-1,16
227,0,-1,16
182,1,-1,516
194,0,-1,16
218,0,-1,18
221,0,-1,55
224,0,-1,18
135,1,-1,55
109,0,-1,16
343,0,-1,55
210,0,-1,16
255,0,-1,18
309,0,-1,55
171,0,-1,55
489,0,0.0,35
393,0,-1,16
207,1,-1,516
170,0,-1,55
318,0,-1,18
134,0,-1,18
193,0,-1,16
363,1,0.0,161
125,1,-1,53
