id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,27,2,packages\stringstream\example.js,0,0
2,VariableDeclaration,nan,-1,-1,-1,1,0,1,24,packages\stringstream\example.js,0,1
3,VariableDeclaration,nan,-1,-1,-1,2,0,2,28,packages\stringstream\example.js,0,2
4,VariableDeclaration,nan,-1,-1,-1,3,0,3,36,packages\stringstream\example.js,0,3
5,VariableDeclaration,nan,-1,-1,-1,5,0,7,21,packages\stringstream\example.js,0,4
7,VariableDeclaration,nan,-1,-1,-1,12,0,14,30,packages\stringstream\example.js,0,5
9,VariableDeclaration,nan,-1,-1,-1,19,0,19,69,packages\stringstream\example.js,0,6
10,VariableDeclaration,nan,-1,-1,-1,21,0,21,18,packages\stringstream\example.js,0,7
13,CallExpression,nan,1,-1,-1,9,0,9,31,packages\stringstream\example.js,0,8
14,CallExpression,nan,1,-1,-1,16,0,16,32,packages\stringstream\example.js,0,9
15,CallExpression,nan,2,-1,-1,23,0,23,44,packages\stringstream\example.js,0,10
16,CallExpression,nan,2,-1,-1,24,0,27,2,packages\stringstream\example.js,0,11
17,MemberExpression,nan,-1,-1,-1,9,16,9,30,packages\stringstream\example.js,0,12
18,MemberExpression,nan,-1,-1,-1,9,0,9,15,packages\stringstream\example.js,0,13
19,MemberExpression,nan,-1,-1,-1,16,17,16,31,packages\stringstream\example.js,0,14
20,MemberExpression,nan,-1,-1,-1,16,0,16,16,packages\stringstream\example.js,0,15
22,ArrowFunctionExpression,nan,-1,1,0,23,18,23,43,packages\stringstream\example.js,0,16
23,MemberExpression,nan,-1,-1,-1,23,0,23,9,packages\stringstream\example.js,0,17
25,ArrowFunctionExpression,nan,-1,0,0,24,17,27,1,packages\stringstream\example.js,0,18
26,MemberExpression,nan,-1,-1,-1,24,0,24,9,packages\stringstream\example.js,0,19
27,Identifier,data,-1,-1,-1,23,18,23,22,packages\stringstream\example.js,0,20
29,AssignmentExpression,nan,-1,-1,-1,23,26,23,43,packages\stringstream\example.js,0,21
31,BlockStatement,nan,-1,-1,-1,24,23,27,1,packages\stringstream\example.js,0,22
32,Identifier,base64Str,-1,-1,-1,23,26,23,35,packages\stringstream\example.js,0,23
33,Identifier,data,-1,-1,-1,23,39,23,43,packages\stringstream\example.js,0,24
36,CallExpression,nan,1,-1,-1,25,2,25,56,packages\stringstream\example.js,0,25
37,CallExpression,nan,1,-1,-1,26,2,26,79,packages\stringstream\example.js,0,26
39,MemberExpression,nan,-1,-1,-1,25,2,25,13,packages\stringstream\example.js,0,27
41,MemberExpression,nan,-1,-1,-1,26,2,26,13,packages\stringstream\example.js,0,28
43,Identifier,base64Str,-1,-1,-1,25,46,25,55,packages\stringstream\example.js,0,29
45,MemberExpression,nan,-1,-1,-1,26,39,26,78,packages\stringstream\example.js,0,30
46,Program,nan,-1,-1,-1,1,0,54,1,packages\stringstream\stringstream.js,0,31
48,VariableDeclaration,nan,-1,-1,-1,3,0,3,28,packages\stringstream\stringstream.js,0,32
49,VariableDeclaration,nan,-1,-1,-1,4,0,4,45,packages\stringstream\stringstream.js,0,33
51,VariableDeclaration,nan,-1,-1,-1,8,0,11,1,packages\stringstream\stringstream.js,0,34
52,FunctionDeclaration,nan,-1,3,1,13,0,27,1,packages\stringstream\stringstream.js,0,35
57,AssignmentExpression,nan,-1,-1,-1,6,0,6,29,packages\stringstream\stringstream.js,0,36
58,Identifier,StringStream,-1,-1,-1,13,9,13,21,packages\stringstream\stringstream.js,0,37
59,Identifier,from,-1,-1,-1,13,22,13,26,packages\stringstream\stringstream.js,0,38
60,Identifier,to,-1,-1,-1,13,28,13,30,packages\stringstream\stringstream.js,0,39
61,Identifier,options,-1,-1,-1,13,32,13,39,packages\stringstream\stringstream.js,0,40
63,BlockStatement,nan,-1,-1,-1,13,41,27,1,packages\stringstream\stringstream.js,0,41
64,CallExpression,nan,2,-1,-1,28,0,28,38,packages\stringstream\stringstream.js,0,42
65,AssignmentExpression,nan,-1,-1,-1,30,0,46,1,packages\stringstream\stringstream.js,0,43
66,AssignmentExpression,nan,-1,-1,-1,48,0,54,1,packages\stringstream\stringstream.js,0,44
67,MemberExpression,nan,-1,-1,-1,6,0,6,14,packages\stringstream\stringstream.js,0,45
68,Identifier,StringStream,-1,-1,-1,6,17,6,29,packages\stringstream\stringstream.js,0,46
69,IfStatement,nan,-1,-1,-1,14,2,14,81,packages\stringstream\stringstream.js,0,47
71,IfStatement,nan,-1,-1,-1,18,2,22,3,packages\stringstream\stringstream.js,0,48
76,Identifier,StringStream,-1,-1,-1,28,14,28,26,packages\stringstream\stringstream.js,0,49
77,Identifier,Transform,-1,-1,-1,28,28,28,37,packages\stringstream\stringstream.js,0,50
78,MemberExpression,nan,-1,-1,-1,28,0,28,13,packages\stringstream\stringstream.js,0,51
79,MemberExpression,nan,-1,-1,-1,30,0,30,33,packages\stringstream\stringstream.js,0,52
80,FunctionExpression,nan,-1,3,1,30,36,46,1,packages\stringstream\stringstream.js,0,53
81,MemberExpression,nan,-1,-1,-1,48,0,48,29,packages\stringstream\stringstream.js,0,54
82,FunctionExpression,nan,-1,1,0,48,32,54,1,packages\stringstream\stringstream.js,0,55
83,ReturnStatement,nan,1,-1,-1,14,39,14,81,packages\stringstream\stringstream.js,0,56
84,UnaryExpression,nan,1,-1,-1,14,6,14,37,packages\stringstream\stringstream.js,0,57
85,CallExpression,nan,2,-1,-1,16,2,16,31,packages\stringstream\stringstream.js,0,58
86,BlockStatement,nan,-1,-1,-1,18,30,22,3,packages\stringstream\stringstream.js,0,59
88,CallExpression,nan,1,-1,-1,23,2,23,22,packages\stringstream\stringstream.js,0,60
