src,dst
145,67
191,65
95,63
172,67
25,71
73,71
5,61
96,57
19,93
14,67
151,61
189,167
98,63
10,69
186,65
3,61
65,67
150,59
121,63
29,65
40,61
64,65
22,65
10,69
191,93
149,57
163,69
142,46
150,93
159,46
177,46
33,69
24,67
40,63
166,69
43,63
7,71
149,67
10,93
135,71
176,59
58,93
11,71
12,61
138,65
22,69
6,71
98,59
160,93
174,65
31,100
83,93
66,71
98,57
11,100
144,65
90,46
181,69
37,167
32,71
43,57
89,93
14,167
151,69
68,63
36,167
181,65
182,61
34,61
8,57
66,67
177,59
157,67
78,57
173,93
44,63
78,67
97,65
20,167
63,67
71,65
66,69
192,65
3,46
137,71
61,63
152,69
168,57
7,59
73,69
10,59
19,59
144,69
69,65
90,93
14,167
94,46
146,100
171,67
71,100
134,71
93,167
154,69
172,69
64,93
100,63
44,61
128,67
147,65
82,93
182,93
59,61
151,63
10,69
163,61
33,100
79,71
84,71
147,100
91,67
81,46
128,57
172,46
58,67
150,65
59,167
136,69
146,59
15,167
9,63
1,67
79,100
73,46
70,71
83,100
0,67
137,67
129,100
81,46
179,57
29,59
83,46
137,71
149,100
84,67
64,167
