id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,179,24,packages\tarjan-graph\index.js,1,0
5,ClassDeclaration,nan,-1,-1,-1,4,0,20,1,packages\tarjan-graph\index.js,1,1
7,ClassDeclaration,nan,-1,-1,-1,22,0,27,1,packages\tarjan-graph\index.js,1,2
9,ClassDeclaration,nan,-1,-1,-1,29,0,178,1,packages\tarjan-graph\index.js,1,3
12,CallExpression,nan,3,-1,-1,2,0,2,61,packages\tarjan-graph\index.js,1,4
13,AssignmentExpression,nan,-1,-1,-1,3,0,3,44,packages\tarjan-graph\index.js,1,5
14,Identifier,Vertex,-1,-1,-1,4,6,4,12,packages\tarjan-graph\index.js,1,6
15,ClassBody,nan,-1,-1,-1,4,13,20,1,packages\tarjan-graph\index.js,1,7
16,AssignmentExpression,nan,-1,-1,-1,21,0,21,23,packages\tarjan-graph\index.js,1,8
17,Identifier,CycleError,-1,-1,-1,22,6,22,16,packages\tarjan-graph\index.js,1,9
18,ClassBody,nan,-1,-1,-1,22,31,27,1,packages\tarjan-graph\index.js,1,10
19,AssignmentExpression,nan,-1,-1,-1,28,0,28,31,packages\tarjan-graph\index.js,1,11
20,Identifier,Graph,-1,-1,-1,29,6,29,11,packages\tarjan-graph\index.js,1,12
21,ClassBody,nan,-1,-1,-1,29,12,178,1,packages\tarjan-graph\index.js,1,13
22,AssignmentExpression,nan,-1,-1,-1,179,0,179,23,packages\tarjan-graph\index.js,1,14
23,Identifier,exports,-1,-1,-1,2,22,2,29,packages\tarjan-graph\index.js,1,15
25,ObjectExpression,nan,-1,-1,-1,2,45,2,60,packages\tarjan-graph\index.js,1,16
26,MemberExpression,nan,-1,-1,-1,2,0,2,21,packages\tarjan-graph\index.js,1,17
27,MemberExpression,nan,-1,-1,-1,3,0,3,18,packages\tarjan-graph\index.js,1,18
28,AssignmentExpression,nan,-1,-1,-1,3,21,3,44,packages\tarjan-graph\index.js,1,19
29,MethodDefinition,nan,-1,-1,-1,5,4,13,5,packages\tarjan-graph\index.js,1,20
30,MethodDefinition,nan,-1,-1,-1,14,4,19,5,packages\tarjan-graph\index.js,1,21
