src,dst
1,2
1,3
5,6
5,7
9,10
9,11
12,13
12,14
12,15
13,17
13,18
13,19
14,24
14,25
15,29
15,30
15,31
15,32
16,33
16,34
20,35
20,36
21,37
21,38
22,39
22,40
23,41
23,42
26,43
26,44
27,45
27,46
28,47
28,48
34,49
34,50
36,54
36,55
38,56
38,57
38,58
40,59
40,60
42,61
44,64
44,65
46,66
48,67
48,68
50,73
51,74
52,75
52,76
53,77
53,78
55,79
55,80
55,81
58,82
58,83
58,84
61,85
61,86
62,87
63,88
65,89
65,90
66,91
66,92
66,93
68,94
68,95
69,96
69,97
70,98
70,99
71,100
72,101
73,102
76,104
78,105
80,106
81,108
83,109
86,112
89,113
90,115
92,116
93,117
94,118
95,119
102,120
102,121
106,122
107,124
107,125
110,127
110,128
111,129
111,130
114,134
114,135
142,152
142,153
143,154
144,155
145,156
145,157
146,158
146,159
147,160
148,161
149,162
149,163
150,164
150,165
151,166
151,167
