id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,6,2,packages\thingies\commitlint.config.js,0,0
3,AssignmentExpression,nan,-1,-1,-1,1,0,6,1,packages\thingies\commitlint.config.js,0,1
4,MemberExpression,nan,-1,-1,-1,1,0,1,14,packages\thingies\commitlint.config.js,0,2
5,ObjectExpression,nan,-1,-1,-1,1,17,6,1,packages\thingies\commitlint.config.js,0,3
6,Program,nan,-1,-1,-1,1,0,9,2,packages\thingies\jest.config.js,0,4
8,AssignmentExpression,nan,-1,-1,-1,1,0,9,1,packages\thingies\jest.config.js,0,5
9,MemberExpression,nan,-1,-1,-1,1,0,1,14,packages\thingies\jest.config.js,0,6
10,ObjectExpression,nan,-1,-1,-1,1,17,9,1,packages\thingies\jest.config.js,0,7
11,Program,nan,-1,-1,-1,1,0,11,2,packages\thingies\prettier.config.js,0,8
13,AssignmentExpression,nan,-1,-1,-1,1,0,11,1,packages\thingies\prettier.config.js,0,9
14,MemberExpression,nan,-1,-1,-1,1,0,1,14,packages\thingies\prettier.config.js,0,10
15,ObjectExpression,nan,-1,-1,-1,1,17,11,1,packages\thingies\prettier.config.js,0,11
16,Program,nan,-1,-1,-1,3,0,96,1,packages\thingies\src\__bench__\vendor\lru.js,0,12
18,FunctionDeclaration,nan,-1,1,0,7,0,11,1,packages\thingies\src\__bench__\vendor\lru.js,0,13
23,FunctionDeclaration,nan,-1,0,0,47,0,50,1,packages\thingies\src\__bench__\vendor\lru.js,0,14
27,FunctionDeclaration,nan,-1,2,0,91,0,96,1,packages\thingies\src\__bench__\vendor\lru.js,0,15
28,AssignmentExpression,nan,-1,-1,-1,3,0,5,1,packages\thingies\src\__bench__\vendor\lru.js,0,16
29,Identifier,LruCache,-1,-1,-1,7,9,7,17,packages\thingies\src\__bench__\vendor\lru.js,0,17
30,Identifier,size,-1,-1,-1,7,18,7,22,packages\thingies\src\__bench__\vendor\lru.js,0,18
32,BlockStatement,nan,-1,-1,-1,7,24,11,1,packages\thingies\src\__bench__\vendor\lru.js,0,19
33,AssignmentExpression,nan,-1,-1,-1,13,0,18,1,packages\thingies\src\__bench__\vendor\lru.js,0,20
34,AssignmentExpression,nan,-1,-1,-1,20,0,33,1,packages\thingies\src\__bench__\vendor\lru.js,0,21
35,AssignmentExpression,nan,-1,-1,-1,35,0,37,1,packages\thingies\src\__bench__\vendor\lru.js,0,22
