src,dst
3,208
173,250
452,300
159,326
130,234
214,208
56,20
334,138
46,248
274,43
161,410
401,234
334,32
327,208
57,275
236,410
325,250
300,294
319,329
203,288
329,250
502,30
279,22
180,32
330,327
226,294
503,326
151,250
254,315
379,326
469,22
455,20
164,28
455,248
401,326
307,329
468,30
493,410
257,327
148,55
216,28
293,300
294,3
257,288
484,208
343,20
307,275
323,300
361,28
422,328
58,138
271,32
28,315
491,326
312,43
202,28
131,138
471,315
184,20
61,208
144,294
160,3
468,275
306,30
195,206
8,47
360,22
281,327
29,329
242,32
97,55
20,234
125,208
170,28
372,208
323,288
178,206
9,329
21,288
467,327
468,20
370,288
76,327
427,3
103,55
365,248
350,22
378,43
199,327
482,28
470,22
313,300
413,327
59,300
495,206
356,250
495,43
428,326
508,329
325,250
232,329
217,328
387,3
292,32
188,326
117,250
1,250
26,288
363,315
125,234
177,43
36,32
257,315
11,55
179,43
116,275
122,55
454,20
337,30
58,294
243,208
31,250
152,327
91,28
265,55
60,248
67,327
15,30
176,206
100,315
57,206
301,250
495,294
49,250
265,20
37,326
286,248
271,248
343,275
147,55
160,329
40,275
507,250
304,138
300,328
119,30
106,288
453,234
311,28
339,28
160,22
257,32
23,288
104,248
283,300
466,326
454,20
437,326
8,315
391,138
241,208
385,248
89,300
492,234
320,20
53,250
13,328
76,300
241,248
333,275
199,288
462,250
238,328
283,288
201,315
462,326
61,328
484,294
402,327
458,288
392,22
95,138
436,138
473,294
186,326
149,250
398,329
391,55
212,22
324,328
207,250
492,294
398,250
10,250
289,55
125,206
11,32
26,206
45,55
276,20
482,250
301,275
150,47
417,3
195,315
291,3
293,327
136,275
380,275
164,248
34,22
109,138
405,43
385,328
209,315
315,300
472,248
32,410
11,327
207,328
437,326
5,300
149,315
408,32
306,234
134,28
56,234
241,3
4,326
393,315
7,22
493,22
218,327
356,20
439,300
442,327
396,22
508,47
383,288
247,248
21,410
9,288
313,20
169,288
222,208
149,315
48,22
244,300
404,288
384,3
458,329
274,20
73,47
125,22
59,300
392,410
262,47
240,300
91,315
283,250
213,328
504,328
381,47
370,410
435,47
317,315
429,28
351,300
124,206
212,55
270,410
433,206
495,288
49,410
196,294
428,288
10,206
278,315
388,248
103,138
115,275
21,3
138,327
322,288
17,294
487,288
444,206
512,55
498,20
262,22
247,47
374,208
326,47
467,20
251,138
228,275
111,28
277,300
429,32
271,234
376,300
141,206
113,28
326,55
175,250
92,22
10,47
242,20
346,55
235,315
390,410
387,248
260,55
144,327
237,315
70,30
447,22
87,208
124,32
22,43
120,315
374,138
272,206
67,20
390,47
56,208
147,315
233,30
169,43
100,30
263,234
27,288
222,206
122,55
485,47
95,248
118,206
7,327
199,47
507,3
339,327
37,326
346,328
295,288
8,30
200,326
403,328
33,315
343,294
490,3
50,30
66,20
413,47
278,326
355,55
219,294
243,250
414,43
470,28
7,206
254,234
11,328
464,30
273,30
12,55
5,327
414,32
509,28
211,294
21,410
326,28
321,55
199,327
376,328
275,250
21,234
178,275
355,327
38,288
26,55
148,234
171,43
60,32
502,138
249,326
292,208
429,410
197,32
467,326
109,326
407,22
421,43
211,326
165,32
507,250
232,3
289,315
124,3
340,248
76,410
451,300
352,32
296,20
208,47
15,288
369,250
268,248
209,32
313,410
20,206
433,43
467,55
138,294
296,250
418,32
