src,dst
302,579
238,559
326,561
648,589
1269,406
324,388
344,30
232,408
1269,26
248,555
1097,23
538,571
345,569
178,263
304,559
162,394
1326,384
1029,561
145,581
389,23
596,390
88,120
1168,382
366,585
17,555
452,585
153,567
552,392
221,119
291,408
1165,394
24,394
337,394
1009,382
1062,567
276,121
33,557
976,394
306,264
288,404
258,263
218,400
1036,561
1211,120
1167,26
344,410
148,402
1038,559
1102,571
149,390
1348,583
415,557
72,563
84,571
127,589
977,26
210,261
421,555
52,121
1099,262
1298,394
503,406
989,551
558,551
170,557
189,567
588,551
1320,561
94,567
1215,382
643,559
996,26
262,410
341,567
410,547
1194,396
636,394
302,575
1198,573
1294,549
426,394
250,547
49,388
165,585
566,121
353,557
606,261
1253,567
43,561
36,402
117,402
600,579
1049,561
56,17
417,400
1146,551
347,575
549,264
196,2
86,120
1052,2
30,585
1328,549
1155,21
1288,404
1083,400
179,388
312,575
1105,23
1042,573
72,23
275,364
529,587
1224,400
1349,28
1042,21
1144,119
251,384
239,555
360,589
1132,390
637,547
1068,589
1086,19
18,573
565,585
557,26
253,553
319,2
631,386
1174,394
1051,406
1046,26
33,404
305,577
7,547
401,555
217,573
78,565
1271,559
988,581
1139,394
309,2
238,559
1283,386
1163,406
549,386
86,263
1015,561
201,30
1036,392
153,553
1153,23
605,19
608,410
118,19
305,551
302,577
201,559
1273,569
109,559
1145,404
256,384
310,404
104,575
159,547
1209,402
35,30
1324,402
172,264
130,557
1322,406
249,26
1167,394
1018,563
295,2
440,551
560,264
231,262
287,402
1167,567
563,551
1230,2
348,581
1105,19
210,388
1283,262
497,587
1354,121
141,410
135,549
1315,120
1138,120
1126,21
520,575
1065,561
74,404
349,581
566,26
1357,585
85,577
238,388
403,26
94,23
580,392
610,563
1157,565
987,388
974,396
579,26
18,261
1124,23
514,581
1258,263
357,549
30,559
1007,119
531,553
309,563
52,390
548,587
1046,571
525,567
197,549
218,21
216,559
998,571
989,398
539,400
294,547
640,262
53,585
1089,263
628,553
1009,120
1340,581
352,388
1041,390
534,563
1144,121
1049,549
324,549
1011,382
1270,400
1307,557
406,577
544,382
574,587
73,565
1337,119
203,261
969,23
979,2
558,551
1267,264
1217,579
1271,557
225,567
1318,121
408,561
1292,2
72,571
1355,23
1259,2
1270,19
587,121
1350,390
1236,410
223,573
417,561
1286,388
68,410
1015,585
633,555
1182,17
339,388
1076,17
495,565
362,364
1153,569
259,573
1064,388
87,17
201,573
123,573
585,563
346,587
88,404
517,571
990,577
199,547
1056,261
208,402
140,382
1320,364
1229,23
346,559
443,23
514,21
1355,21
1144,567
1233,565
1115,587
282,561
1351,392
197,264
1341,384
1136,392
509,23
506,559
555,571
1334,563
1173,394
1266,2
1116,589
119,553
564,585
1233,565
322,30
1352,557
302,26
529,386
498,394
1072,264
17,555
154,17
1145,563
995,394
1135,410
1193,563
1109,589
128,26
1115,2
1122,551
1121,396
967,19
16,264
1189,581
1125,571
168,119
199,585
1274,398
415,400
1037,21
334,30
593,549
1125,573
9,561
348,549
237,400
1287,392
519,121
1311,587
1336,561
198,567
1218,402
50,386
1333,579
623,28
215,571
162,121
235,19
359,575
1110,120
0,555
1025,121
1283,553
617,364
584,579
426,120
1199,561
595,388
601,262
631,120
1102,565
198,119
320,549
1074,388
537,559
361,569
1311,561
1022,398
1293,565
101,587
142,547
1004,571
215,585
308,400
1273,394
330,549
386,581
109,396
1106,382
1257,120
285,577
1239,26
237,587
38,563
220,573
268,575
163,583
1257,382
299,571
129,17
1034,386
535,396
87,561
257,555
624,587
1251,28
1182,119
357,263
633,23
1174,261
1294,406
351,557
344,262
1270,547
82,386
1133,263
358,571
39,119
1016,390
1352,589
142,581
1244,561
516,386
1144,551
442,547
39,400
1334,567
1178,410
1131,264
93,565
535,579
1252,579
1072,587
