src,dst
55,27
22,2
94,2
142,4
12,195
116,3
116,2
113,1
106,195
130,2
87,21
135,4
164,195
58,195
120,2
94,195
162,55
17,1
175,3
118,2
47,55
85,27
78,55
138,3
99,55
175,4
178,4
175,2
61,195
78,55
119,2
3,4
141,27
131,4
165,21
191,55
168,55
53,4
31,21
67,3
47,27
99,27
108,2
204,55
114,3
26,55
195,55
87,27
43,55
119,3
38,27
51,3
79,21
33,27
9,21
68,55
126,27
203,4
23,3
1,27
59,3
60,1
7,21
167,2
168,1
27,3
9,1
33,21
1,27
107,2
82,55
165,2
185,21
79,2
141,2
13,3
12,2
94,4
15,3
50,3
93,3
51,2
87,21
114,1
100,3
136,195
93,2
147,21
89,27
34,4
25,55
36,195
169,1
135,55
161,21
5,3
162,3
2,55
118,55
108,4
7,3
115,2
135,27
203,27
110,27
132,21
164,2
70,1
164,4
90,1
120,27
31,4
181,27
118,3
191,3
154,2
10,195
147,2
28,4
131,4
43,21
187,4
51,1
160,21
179,27
54,3
82,27
168,21
16,2
153,21
152,27
154,4
170,2
108,55
59,4
15,1
116,195
35,2
163,27
14,195
68,4
203,55
10,4
75,21
133,1
61,195
99,27
196,1
33,27
59,1
28,4
34,55
43,21
197,4
113,1
162,4
29,4
204,3
24,55
9,4
105,55
189,1
93,21
4,195
67,3
8,4
118,1
34,21
43,3
175,27
164,4
185,1
193,2
121,21
