id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,9,0,98,1,packages\toposort\index.js,1,0
4,FunctionDeclaration,nan,-1,2,1,15,0,69,1,packages\toposort\index.js,1,1
5,FunctionDeclaration,nan,-1,1,1,71,0,79,1,packages\toposort\index.js,1,2
6,FunctionDeclaration,nan,-1,1,1,81,0,90,1,packages\toposort\index.js,1,3
7,FunctionDeclaration,nan,-1,1,1,92,0,98,1,packages\toposort\index.js,1,4
8,AssignmentExpression,nan,-1,-1,-1,9,0,11,1,packages\toposort\index.js,1,5
9,AssignmentExpression,nan,-1,-1,-1,13,0,13,31,packages\toposort\index.js,1,6
10,Identifier,toposort,-1,-1,-1,15,9,15,17,packages\toposort\index.js,1,7
11,Identifier,nodes,-1,-1,-1,15,18,15,23,packages\toposort\index.js,1,8
12,Identifier,edges,-1,-1,-1,15,25,15,30,packages\toposort\index.js,1,9
14,BlockStatement,nan,-1,-1,-1,15,32,69,1,packages\toposort\index.js,1,10
15,Identifier,uniqueNodes,-1,-1,-1,71,9,71,20,packages\toposort\index.js,1,11
16,Identifier,arr,-1,-1,-1,71,21,71,24,packages\toposort\index.js,1,12
18,BlockStatement,nan,-1,-1,-1,71,25,79,1,packages\toposort\index.js,1,13
19,Identifier,makeOutgoingEdges,-1,-1,-1,81,9,81,26,packages\toposort\index.js,1,14
20,Identifier,arr,-1,-1,-1,81,27,81,30,packages\toposort\index.js,1,15
22,BlockStatement,nan,-1,-1,-1,81,31,90,1,packages\toposort\index.js,1,16
23,Identifier,makeNodesHash,-1,-1,-1,92,9,92,22,packages\toposort\index.js,1,17
24,Identifier,arr,-1,-1,-1,92,23,92,26,packages\toposort\index.js,1,18
26,BlockStatement,nan,-1,-1,-1,92,27,98,1,packages\toposort\index.js,1,19
27,MemberExpression,nan,-1,-1,-1,9,0,9,14,packages\toposort\index.js,1,20
28,FunctionExpression,nan,-1,1,1,9,17,11,1,packages\toposort\index.js,1,21
29,MemberExpression,nan,-1,-1,-1,13,0,13,20,packages\toposort\index.js,1,22
30,Identifier,toposort,-1,-1,-1,13,23,13,31,packages\toposort\index.js,1,23
31,VariableDeclaration,nan,-1,-1,-1,16,2,22,38,packages\toposort\index.js,1,24
33,WhileStatement,nan,-1,-1,-1,31,2,33,3,packages\toposort\index.js,1,25
34,ReturnStatement,nan,1,-1,-1,35,2,35,15,packages\toposort\index.js,1,26
35,FunctionDeclaration,nan,-1,3,1,37,2,68,3,packages\toposort\index.js,1,27
36,VariableDeclaration,nan,-1,-1,-1,72,2,72,21,packages\toposort\index.js,1,28
37,ForStatement,nan,-1,-1,-1,73,2,77,3,packages\toposort\index.js,1,29
38,ReturnStatement,nan,1,-1,-1,78,2,78,24,packages\toposort\index.js,1,30
39,VariableDeclaration,nan,-1,-1,-1,82,2,82,23,packages\toposort\index.js,1,31
40,ForStatement,nan,-1,-1,-1,83,2,88,3,packages\toposort\index.js,1,32
41,ReturnStatement,nan,1,-1,-1,89,2,89,14,packages\toposort\index.js,1,33
42,VariableDeclaration,nan,-1,-1,-1,93,2,93,21,packages\toposort\index.js,1,34
43,ForStatement,nan,-1,-1,-1,94,2,96,3,packages\toposort\index.js,1,35
44,ReturnStatement,nan,1,-1,-1,97,2,97,12,packages\toposort\index.js,1,36
45,Identifier,edges,-1,-1,-1,9,26,9,31,packages\toposort\index.js,1,37
47,BlockStatement,nan,-1,-1,-1,9,33,11,1,packages\toposort\index.js,1,38
48,CallExpression,nan,1,-1,-1,25,2,29,4,packages\toposort\index.js,1,39
49,UpdateExpression,nan,1,-1,-1,31,9,31,12,packages\toposort\index.js,1,40
50,BlockStatement,nan,-1,-1,-1,31,14,33,3,packages\toposort\index.js,1,41
51,Identifier,sorted,-1,-1,-1,35,9,35,15,packages\toposort\index.js,1,42
52,Identifier,visit,-1,-1,-1,37,11,37,16,packages\toposort\index.js,1,43
53,Identifier,node,-1,-1,-1,37,17,37,21,packages\toposort\index.js,1,44
54,Identifier,i,-1,-1,-1,37,23,37,24,packages\toposort\index.js,1,45
55,Identifier,predecessors,-1,-1,-1,37,26,37,38,packages\toposort\index.js,1,46
57,BlockStatement,nan,-1,-1,-1,37,40,68,3,packages\toposort\index.js,1,47
59,BlockStatement,nan,-1,-1,-1,73,50,77,3,packages\toposort\index.js,1,48
60,CallExpression,nan,1,-1,-1,78,9,78,24,packages\toposort\index.js,1,49
62,BlockStatement,nan,-1,-1,-1,83,50,88,3,packages\toposort\index.js,1,50
63,Identifier,edges,-1,-1,-1,89,9,89,14,packages\toposort\index.js,1,51
65,BlockStatement,nan,-1,-1,-1,94,50,96,3,packages\toposort\index.js,1,52
66,Identifier,res,-1,-1,-1,97,9,97,12,packages\toposort\index.js,1,53
67,ReturnStatement,nan,1,-1,-1,10,2,10,44,packages\toposort\index.js,1,54
68,FunctionExpression,nan,-1,1,0,25,16,29,3,packages\toposort\index.js,1,55
69,MemberExpression,nan,-1,-1,-1,25,2,25,15,packages\toposort\index.js,1,56
70,Identifier,i,-1,-1,-1,31,9,31,10,packages\toposort\index.js,1,57
71,IfStatement,nan,-1,-1,-1,32,4,32,50,packages\toposort\index.js,1,58
72,IfStatement,nan,-1,-1,-1,38,4,46,5,packages\toposort\index.js,1,59
73,IfStatement,nan,-1,-1,-1,48,4,50,5,packages\toposort\index.js,1,60
74,IfStatement,nan,-1,-1,-1,52,4,52,27,packages\toposort\index.js,1,61
76,VariableDeclaration,nan,-1,-1,-1,55,4,55,55,packages\toposort\index.js,1,62
78,IfStatement,nan,-1,-1,-1,58,4,65,5,packages\toposort\index.js,1,63
80,Identifier,i,-1,-1,-1,73,36,73,37,packages\toposort\index.js,1,64
81,Identifier,len,-1,-1,-1,73,40,73,43,packages\toposort\index.js,1,65
82,VariableDeclaration,nan,-1,-1,-1,74,4,74,21,packages\toposort\index.js,1,66
85,Identifier,res,-1,-1,-1,78,20,78,23,packages\toposort\index.js,1,67
86,MemberExpression,nan,-1,-1,-1,78,9,78,19,packages\toposort\index.js,1,68
87,Identifier,i,-1,-1,-1,83,36,83,37,packages\toposort\index.js,1,69
88,Identifier,len,-1,-1,-1,83,40,83,43,packages\toposort\index.js,1,70
89,VariableDeclaration,nan,-1,-1,-1,84,4,84,21,packages\toposort\index.js,1,71
90,IfStatement,nan,-1,-1,-1,85,4,85,58,packages\toposort\index.js,1,72
91,IfStatement,nan,-1,-1,-1,86,4,86,58,packages\toposort\index.js,1,73
93,Identifier,i,-1,-1,-1,94,36,94,37,packages\toposort\index.js,1,74
94,Identifier,len,-1,-1,-1,94,40,94,43,packages\toposort\index.js,1,75
