src,dst
90,130
68,82
121,80
237,82
69,88
85,146
37,132
244,88
138,80
28,139
101,80
101,80
60,16
226,146
238,80
211,120
28,88
56,16
211,146
200,162
11,80
18,130
64,132
123,88
55,82
87,82
173,139
97,139
219,162
69,146
222,139
222,80
38,85
82,80
73,120
19,82
2,130
155,80
174,80
11,139
153,88
6,139
153,132
12,146
90,82
97,162
220,22
216,130
0,146
86,82
163,80
226,82
166,139
48,130
208,120
58,120
233,120
144,22
9,139
85,132
121,120
57,85
36,120
70,82
131,132
125,88
38,132
235,16
49,88
101,120
94,82
233,80
49,132
249,130
28,132
48,146
95,90
67,139
247,130
57,132
97,85
72,22
208,82
44,90
160,162
14,22
94,120
89,132
159,132
91,85
97,90
10,16
60,146
47,16
147,80
93,16
63,82
68,139
213,88
234,162
4,90
214,80
246,85
174,132
14,16
26,120
48,162
220,146
99,22
173,82
161,139
73,88
149,162
172,16
102,130
125,146
27,139
219,88
0,22
2,132
9,85
55,120
96,132
195,120
42,146
169,139
41,85
159,88
91,146
226,146
23,120
39,80
45,80
219,82
56,130
190,146
245,85
35,16
81,162
80,162
55,16
13,162
173,132
168,132
139,162
10,22
131,82
13,132
213,132
229,82
37,22
164,132
227,16
40,90
88,80
197,146
216,132
100,162
101,85
67,146
66,85
129,132
193,132
96,132
5,146
20,80
4,146
132,16
149,90
54,132
37,88
20,162
230,80
141,22
19,132
103,88
56,80
52,85
175,22
18,162
86,139
233,85
97,90
229,22
151,82
200,132
83,88
165,82
66,139
101,120
222,22
133,90
248,82
64,90
67,162
150,85
24,16
92,90
15,90
2,139
67,16
244,90
