id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,79,2,packages\typed-array-byte-offset\index.js,1,0
3,VariableDeclaration,nan,-1,-1,-1,3,0,3,34,packages\typed-array-byte-offset\index.js,1,1
4,VariableDeclaration,nan,-1,-1,-1,4,0,4,36,packages\typed-array-byte-offset\index.js,1,2
5,VariableDeclaration,nan,-1,-1,-1,5,0,5,55,packages\typed-array-byte-offset\index.js,1,3
6,VariableDeclaration,nan,-1,-1,-1,7,0,7,54,packages\typed-array-byte-offset\index.js,1,4
7,VariableDeclaration,nan,-1,-1,-1,12,0,15,2,packages\typed-array-byte-offset\index.js,1,5
8,VariableDeclaration,nan,-1,-1,-1,17,0,17,27,packages\typed-array-byte-offset\index.js,1,6
9,VariableDeclaration,nan,-1,-1,-1,18,0,18,32,packages\typed-array-byte-offset\index.js,1,7
10,IfStatement,nan,-1,-1,-1,19,0,52,1,packages\typed-array-byte-offset\index.js,1,8
11,VariableDeclaration,nan,-1,-1,-1,55,0,69,2,packages\typed-array-byte-offset\index.js,1,9
12,VariableDeclaration,nan,-1,-1,-1,71,0,71,45,packages\typed-array-byte-offset\index.js,1,10
15,BlockStatement,nan,-1,-1,-1,19,10,52,1,packages\typed-array-byte-offset\index.js,1,11
16,Identifier,gOPD,-1,-1,-1,19,4,19,8,packages\typed-array-byte-offset\index.js,1,12
17,AssignmentExpression,nan,-1,-1,-1,74,0,79,1,packages\typed-array-byte-offset\index.js,1,13
18,VariableDeclaration,nan,-1,-1,-1,21,1,23,3,packages\typed-array-byte-offset\index.js,1,14
20,MemberExpression,nan,-1,-1,-1,74,0,74,14,packages\typed-array-byte-offset\index.js,1,15
21,FunctionExpression,nan,-1,1,1,74,17,79,1,packages\typed-array-byte-offset\index.js,1,16
22,CallExpression,nan,2,-1,-1,24,1,51,3,packages\typed-array-byte-offset\index.js,1,17
23,Identifier,typedArrayByteOffset,-1,-1,-1,74,26,74,46,packages\typed-array-byte-offset\index.js,1,18
24,Identifier,value,-1,-1,-1,74,47,74,52,packages\typed-array-byte-offset\index.js,1,19
26,BlockStatement,nan,-1,-1,-1,74,54,79,1,packages\typed-array-byte-offset\index.js,1,20
27,Identifier,typedArrays,-1,-1,-1,24,9,24,20,packages\typed-array-byte-offset\index.js,1,21
28,FunctionExpression,nan,-1,1,0,24,22,51,2,packages\typed-array-byte-offset\index.js,1,22
29,Identifier,forEach,-1,-1,-1,24,1,24,8,packages\typed-array-byte-offset\index.js,1,23
30,IfStatement,nan,-1,-1,-1,75,1,77,2,packages\typed-array-byte-offset\index.js,1,24
31,ReturnStatement,nan,1,-1,-1,78,1,78,30,packages\typed-array-byte-offset\index.js,1,25
32,Identifier,typedArray,-1,-1,-1,24,32,24,42,packages\typed-array-byte-offset\index.js,1,26
34,BlockStatement,nan,-1,-1,-1,24,44,51,2,packages\typed-array-byte-offset\index.js,1,27
35,BlockStatement,nan,-1,-1,-1,75,27,77,2,packages\typed-array-byte-offset\index.js,1,28
36,UnaryExpression,nan,1,-1,-1,75,5,75,25,packages\typed-array-byte-offset\index.js,1,29
37,CallExpression,nan,1,-1,-1,78,8,78,29,packages\typed-array-byte-offset\index.js,1,30
38,IfStatement,nan,-1,-1,-1,26,2,50,3,packages\typed-array-byte-offset\index.js,1,31
39,ReturnStatement,nan,1,-1,-1,76,2,76,15,packages\typed-array-byte-offset\index.js,1,32
40,CallExpression,nan,1,-1,-1,75,6,75,25,packages\typed-array-byte-offset\index.js,1,33
41,Identifier,value,-1,-1,-1,78,23,78,28,packages\typed-array-byte-offset\index.js,1,34
42,Identifier,tryTypedArrays,-1,-1,-1,78,8,78,22,packages\typed-array-byte-offset\index.js,1,35
43,BlockStatement,nan,-1,-1,-1,26,90,50,3,packages\typed-array-byte-offset\index.js,1,36
44,LogicalExpression,nan,-1,-1,-1,26,6,26,88,packages\typed-array-byte-offset\index.js,1,37
46,Identifier,value,-1,-1,-1,75,19,75,24,packages\typed-array-byte-offset\index.js,1,38
47,Identifier,isTypedArray,-1,-1,-1,75,6,75,18,packages\typed-array-byte-offset\index.js,1,39
48,VariableDeclaration,nan,-1,-1,-1,27,3,27,44,packages\typed-array-byte-offset\index.js,1,40
49,VariableDeclaration,nan,-1,-1,-1,29,3,29,46,packages\typed-array-byte-offset\index.js,1,41
50,IfStatement,nan,-1,-1,-1,30,3,34,4,packages\typed-array-byte-offset\index.js,1,42
51,IfStatement,nan,-1,-1,-1,36,3,49,4,packages\typed-array-byte-offset\index.js,1,43
54,BlockStatement,nan,-1,-1,-1,30,20,34,4,packages\typed-array-byte-offset\index.js,1,44
55,UnaryExpression,nan,1,-1,-1,30,7,30,18,packages\typed-array-byte-offset\index.js,1,45
56,BlockStatement,nan,-1,-1,-1,36,37,38,4,packages\typed-array-byte-offset\index.js,1,46
57,LogicalExpression,nan,-1,-1,-1,36,7,36,35,packages\typed-array-byte-offset\index.js,1,47
58,UnaryExpression,nan,1,-1,-1,26,6,26,31,packages\typed-array-byte-offset\index.js,1,48
60,UnaryExpression,nan,1,-1,-1,26,50,26,75,packages\typed-array-byte-offset\index.js,1,49
62,VariableDeclaration,nan,-1,-1,-1,31,4,31,32,packages\typed-array-byte-offset\index.js,1,50
64,Identifier,descriptor,-1,-1,-1,30,8,30,18,packages\typed-array-byte-offset\index.js,1,51
66,Identifier,descriptor,-1,-1,-1,36,7,36,17,packages\typed-array-byte-offset\index.js,1,52
67,MemberExpression,nan,-1,-1,-1,36,21,36,35,packages\typed-array-byte-offset\index.js,1,53
68,MemberExpression,nan,-1,-1,-1,26,13,26,31,packages\typed-array-byte-offset\index.js,1,54
69,MemberExpression,nan,-1,-1,-1,26,57,26,75,packages\typed-array-byte-offset\index.js,1,55
70,AssignmentExpression,nan,-1,-1,-1,33,4,33,47,packages\typed-array-byte-offset\index.js,1,56
71,AssignmentExpression,nan,-1,-1,-1,37,4,37,50,packages\typed-array-byte-offset\index.js,1,57
72,Identifier,descriptor,-1,-1,-1,33,4,33,14,packages\typed-array-byte-offset\index.js,1,58
73,CallExpression,nan,2,-1,-1,33,17,33,47,packages\typed-array-byte-offset\index.js,1,59
74,MemberExpression,nan,-1,-1,-1,37,4,37,23,packages\typed-array-byte-offset\index.js,1,60
75,CallExpression,nan,1,-1,-1,37,26,37,50,packages\typed-array-byte-offset\index.js,1,61
76,Identifier,superProto,-1,-1,-1,33,22,33,32,packages\typed-array-byte-offset\index.js,1,62
78,Identifier,gOPD,-1,-1,-1,33,17,33,21,packages\typed-array-byte-offset\index.js,1,63
79,MemberExpression,nan,-1,-1,-1,37,35,37,49,packages\typed-array-byte-offset\index.js,1,64
80,Identifier,callBind,-1,-1,-1,37,26,37,34,packages\typed-array-byte-offset\index.js,1,65
81,Program,nan,-1,-1,-1,1,0,78,3,packages\typed-array-byte-offset\test\index.js,1,66
83,VariableDeclaration,nan,-1,-1,-1,3,0,3,27,packages\typed-array-byte-offset\test\index.js,1,67
84,VariableDeclaration,nan,-1,-1,-1,4,0,4,42,packages\typed-array-byte-offset\test\index.js,1,68
85,VariableDeclaration,nan,-1,-1,-1,5,0,5,40,packages\typed-array-byte-offset\test\index.js,1,69
86,VariableDeclaration,nan,-1,-1,-1,6,0,6,54,packages\typed-array-byte-offset\test\index.js,1,70
87,VariableDeclaration,nan,-1,-1,-1,7,0,7,47,packages\typed-array-byte-offset\test\index.js,1,71
88,VariableDeclaration,nan,-1,-1,-1,8,0,8,34,packages\typed-array-byte-offset\test\index.js,1,72
89,VariableDeclaration,nan,-1,-1,-1,9,0,9,40,packages\typed-array-byte-offset\test\index.js,1,73
90,VariableDeclaration,nan,-1,-1,-1,11,0,11,60,packages\typed-array-byte-offset\test\index.js,1,74
97,CallExpression,nan,2,-1,-1,13,0,43,2,packages\typed-array-byte-offset\test\index.js,1,75
98,CallExpression,nan,2,-1,-1,45,0,48,2,packages\typed-array-byte-offset\test\index.js,1,76
99,CallExpression,nan,3,-1,-1,50,0,55,2,packages\typed-array-byte-offset\test\index.js,1,77
100,CallExpression,nan,3,-1,-1,57,0,60,2,packages\typed-array-byte-offset\test\index.js,1,78
101,CallExpression,nan,2,-1,-1,62,0,78,2,packages\typed-array-byte-offset\test\index.js,1,79
103,FunctionExpression,nan,-1,1,0,13,19,43,1,packages\typed-array-byte-offset\test\index.js,1,80
