src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
2,13
2,14
2,15
3,16
3,17
3,18
6,19
6,20
6,21
7,22
7,23
7,24
8,25
8,26
8,27
8,28
9,29
9,30
9,31
9,32
10,33
10,34
10,35
10,36
10,37
11,38
11,39
11,40
11,41
11,42
12,43
12,44
12,45
15,52
18,53
18,54
18,55
18,56
18,57
21,58
21,59
21,60
21,61
21,62
21,63
24,64
28,65
28,66
28,67
28,68
28,69
28,70
28,71
28,72
28,73
32,74
32,75
32,76
32,77
32,78
32,79
37,80
37,81
37,82
37,83
37,84
37,85
37,86
37,87
37,88
37,89
37,90
42,91
42,92
42,93
42,94
45,95
45,96
45,97
45,98
45,99
45,100
45,101
45,102
45,103
46,104
46,105
47,106
47,107
48,108
48,109
49,110
49,111
50,112
50,113
51,114
51,115
52,116
55,117
56,118
56,119
57,120
62,122
63,123
64,124
71,128
71,129
72,130
73,131
74,132
76,133
76,134
77,135
78,136
79,137
80,138
80,139
82,140
82,141
83,142
84,149
84,150
85,151
86,152
87,153
87,154
88,155
88,156
89,157
89,158
90,160
90,161
93,164
94,168
95,169
97,170
99,171
99,172
100,173
100,174
101,177
102,178
103,179
116,180
116,181
117,182
119,184
120,185
120,186
121,189
121,190
124,192
125,193
125,194
126,195
126,196
127,197
127,198
128,199
130,200
132,202
133,204
134,205
137,208
138,209
142,211
143,212
143,213
144,214
144,215
145,216
145,217
146,218
146,219
147,220
147,221
148,222
148,223
150,224
150,225
151,228
151,229
151,230
154,232
154,233
156,234
158,235
159,236
159,237
160,238
162,239
162,240
163,241
163,242
164,245
164,246
165,247
165,248
166,249
166,250
167,251
167,252
169,254
170,256
171,257
174,258
175,259
176,260
176,261
184,264
187,265
187,266
188,267
190,268
190,269
192,271
194,273
194,274
196,275
196,276
198,277
198,278
199,279
199,280
200,281
205,282
206,283
207,284
209,287
210,294
210,295
213,297
213,298
215,299
215,300
215,301
217,302
217,303
219,304
219,305
221,306
224,308
225,309
225,310
228,312
229,315
230,317
231,318
231,319
232,321
234,324
234,325
235,328
235,329
235,330
237,331
238,333
238,334
240,336
242,337
246,338
248,339
250,340
252,341
253,342
253,343
254,344
255,346
257,349
258,353
258,354
261,357
262,358
262,359
263,360
263,361
264,362
270,364
270,365
271,366
287,370
287,371
287,372
287,373
290,374
290,375
291,376
296,377
299,378
302,379
303,380
305,381
305,382
306,383
306,384
307,385
307,386
308,388
309,389
310,390
310,391
311,392
311,393
312,394
313,396
313,397
314,398
314,399
316,402
316,403
319,405
319,406
320,407
320,408
321,409
321,410
322,414
323,415
326,416
326,417
327,418
332,419
332,420
334,421
335,422
335,423
336,425
336,426
340,430
340,431
345,432
347,433
348,434
348,435
350,437
351,438
353,439
353,440
354,441
357,442
357,443
363,445
365,446
365,447
365,448
366,449
388,456
388,457
390,458
391,459
395,461
403,463
403,464
404,465
404,466
408,467
408,468
408,469
411,470
420,472
423,477
425,479
427,480
427,481
430,484
436,486
444,487
446,491
446,492
451,494
452,495
453,496
453,497
454,498
454,499
459,501
459,502
460,503
460,504
462,505
462,506
464,507
464,508
466,509
473,510
473,511
474,512
474,513
475,514
475,515
476,516
476,517
479,520
479,521
481,522
484,524
484,525
489,527
497,533
504,534
504,535
504,536
507,537
508,538
508,539
511,540
511,541
513,542
513,543
515,544
517,545
517,546
542,550
542,551
545,553
545,554
555,556
555,557
555,558
555,559
555,560
561,562
561,563
562,564
562,565
565,566
566,567
567,569
568,570
571,572
571,573
571,574
571,575
574,584
574,585
574,586
575,587
575,588
576,590
576,591
577,592
577,593
578,594
578,595
579,596
579,597
580,598
580,599
581,600
581,601
582,602
582,603
583,604
583,605
586,606
586,607
588,608
589,609
589,610
607,611
608,612
610,613
610,614
612,615
614,616
614,617
614,618
614,619
614,620
614,621
614,622
614,623
615,624
617,629
618,630
619,631
620,632
620,633
621,635
621,636
621,637
622,638
622,639
622,640
623,642
624,643
625,644
625,645
626,646
627,647
627,648
628,649
628,650
629,652
630,654
631,656
633,657
634,658
634,659
641,660
641,661
645,663
648,664
650,665
651,666
651,667
653,668
655,669
659,672
661,675
662,676
667,677
670,680
670,681
671,682
671,683
673,685
674,686
674,687
678,688
679,689
681,690
683,691
694,695
694,696
695,697
697,698
699,738
699,739
700,740
700,741
701,742
701,743
702,744
702,745
703,746
703,747
704,748
704,749
705,750
705,751
706,752
706,753
707,754
707,755
708,756
708,757
709,758
709,759
710,760
710,761
711,762
711,763
712,764
712,765
713,766
713,767
714,768
714,769
715,770
715,771
716,772
716,773
717,774
717,775
718,776
718,777
719,778
719,779
720,780
720,781
721,782
721,783
722,784
722,785
723,786
723,787
724,788
724,789
725,790
725,791
726,792
726,793
727,794
727,795
728,796
728,797
729,798
729,799
730,800
730,801
731,802
731,803
732,804
732,805
733,806
733,807
734,808
734,809
735,810
735,811
736,812
736,813
737,814
737,815
738,816
740,817
742,818
744,819
746,820
748,821
750,822
752,823
754,824
756,825
758,826
760,827
762,828
764,829
766,830
768,831
770,832
772,833
774,834
776,835
778,836
780,837
782,838
784,839
786,840
788,841
790,842
792,843
794,844
796,845
798,846
800,847
802,848
804,849
806,850
808,851
810,852
812,853
814,854
820,855
821,856
821,857
824,858
825,859
826,860
827,861
828,862
829,863
829,864
830,865
830,866
831,867
832,868
833,869
834,870
835,871
836,872
837,873
838,874
839,875
840,876
841,877
842,878
843,879
844,880
845,881
850,882
851,883
854,884
854,885
866,921
885,1156
886,1157
887,1158
887,1159
888,1160
889,1161
890,1162
891,1163
892,1164
893,1165
894,1166
894,1167
895,1168
896,1169
897,1170
898,1171
899,1172
899,1173
900,1174
900,1175
901,1176
901,1177
902,1178
902,1179
903,1180
903,1181
904,1182
904,1183
905,1184
905,1185
906,1186
906,1187
907,1188
907,1189
908,1190
908,1191
909,1192
910,1193
911,1194
912,1195
912,1196
913,1197
914,1198
915,1199
915,1200
916,1201
917,1202
917,1203
918,1204
919,1205
920,1206
922,1208
923,1209
924,1210
925,1211
926,1212
927,1213
928,1214
929,1215
930,1216
931,1217
932,1218
933,1219
934,1220
935,1221
936,1222
937,1223
938,1224
938,1225
939,1226
940,1227
941,1228
942,1229
943,1230
944,1231
945,1232
946,1233
947,1234
948,1235
949,1236
950,1237
951,1238
952,1239
953,1240
954,1241
955,1242
956,1243
957,1244
958,1245
959,1246
959,1247
960,1248
961,1249
962,1250
963,1251
964,1252
964,1253
965,1254
966,1255
967,1256
968,1257
969,1258
970,1259
971,1260
972,1261
973,1262
973,1263
974,1264
975,1265
976,1266
977,1267
978,1268
979,1269
980,1270
980,1271
981,1272
982,1273
983,1274
984,1275
985,1276
986,1277
986,1278
987,1279
988,1280
989,1281
990,1282
991,1283
992,1284
992,1285
993,1286
994,1287
995,1288
996,1289
997,1290
998,1291
998,1292
999,1293
1000,1294
1001,1295
1002,1296
1003,1297
1004,1298
1005,1299
1006,1300
1007,1301
1008,1302
1008,1303
