src,same_file,jaccard_val,dst
365,1,1.0,10
194,1,1.0,3
287,1,1.0,10
213,1,1.0,6
215,1,1.0,8
459,1,1.0,7
408,1,1.0,9
234,1,1.0,7
479,1,1.0,7
242,1,1.0,12
484,1,1.0,7
252,1,1.0,12
357,0,-1.0,1527
561,1,-1.0,562
645,1,1.0,574
648,1,1.0,574
650,1,1.0,574
629,1,1.0,575
667,1,1.0,574
630,1,1.0,575
678,1,1.0,574
631,1,1.0,575
679,1,1.0,574
633,1,1.0,575
681,1,1.0,574
683,1,1.0,574
661,0,1.0,12
699,1,-1.0,738
700,1,-1.0,740
701,1,-1.0,742
702,1,-1.0,744
703,1,-1.0,746
704,1,-1.0,748
900,1,-1.0,1174
901,1,-1.0,1176
902,1,-1.0,1178
705,1,-1.0,750
903,1,-1.0,1180
904,1,-1.0,1182
905,1,-1.0,1184
906,1,-1.0,1186
907,1,-1.0,1188
908,1,-1.0,1190
706,1,-1.0,752
1196,0,0.0,10
707,1,-1.0,754
708,1,-1.0,756
709,1,-1.0,758
1203,0,1.0,12
1203,1,-1.0,1527
710,1,-1.0,760
711,1,-1.0,762
712,1,-1.0,764
1529,0,0.0,10
713,1,-1.0,766
714,1,-1.0,768
715,1,-1.0,770
716,1,-1.0,772
717,1,-1.0,774
1225,0,0.0,10
718,1,-1.0,776
719,1,-1.0,778
720,1,-1.0,780
1247,0,0.0,10
721,1,-1.0,782
1534,0,0.0,10
1253,0,0.0,10
722,1,-1.0,784
1263,0,0.0,10
1271,0,0.0,10
1278,0,0.0,10
1285,0,0.0,10
1292,0,0.0,10
723,1,-1.0,786
1303,0,0.0,10
1310,0,0.0,10
1317,0,0.0,10
1324,0,0.0,10
1331,0,0.0,10
1338,0,0.0,10
1345,0,0.0,10
724,1,-1.0,788
725,1,-1.0,790
1363,0,0.0,10
726,1,-1.0,792
727,1,-1.0,794
1379,0,0.0,10
1388,0,0.0,10
1397,0,0.0,10
728,1,-1.0,796
1100,1,-1.0,1405
1101,1,-1.0,1407
1102,1,-1.0,1409
1103,1,-1.0,1411
2082,0,0.0,10
2085,0,0.0,10
2088,0,0.0,10
2091,0,0.0,10
2094,0,0.0,10
1104,1,-1.0,1413
1105,1,-1.0,1415
2099,0,0.0,10
2102,0,0.0,10
2105,0,0.0,10
1106,1,-1.0,1417
1107,1,-1.0,1419
729,1,-1.0,798
2574,0,0.0,10
1108,1,-1.0,1421
1109,1,-1.0,1423
1730,0,1.0,11
1731,0,1.0,11
1732,0,1.0,11
2117,0,0.0,10
2121,0,0.0,10
1738,0,1.0,11
1110,1,-1.0,1425
2584,0,0.0,10
2128,0,0.0,10
2135,0,0.0,10
2142,0,0.0,10
2149,0,0.0,10
2157,0,0.0,10
2162,0,0.0,10
2169,0,0.0,10
2174,0,0.0,10
1111,1,-1.0,1427
730,1,-1.0,800
1112,1,-1.0,1429
1113,1,-1.0,1431
1114,1,-1.0,1433
731,1,-1.0,802
1115,1,-1.0,1435
1116,1,-1.0,1437
1117,1,-1.0,1439
2222,0,0.0,10
1118,1,-1.0,1441
2239,0,0.0,10
1119,1,-1.0,1443
2589,0,0.0,10
2601,0,0.0,10
1120,1,-1.0,1445
732,1,-1.0,804
733,1,-1.0,806
734,1,-1.0,808
1125,1,-1.0,1451
1126,1,-1.0,1453
2263,0,0.0,10
1127,1,-1.0,1455
1128,1,-1.0,1457
1129,1,-1.0,1459
2613,0,0.0,10
1130,1,-1.0,1461
1131,1,-1.0,1463
1132,1,-1.0,1465
735,1,-1.0,810
1133,1,-1.0,1467
1134,1,-1.0,1469
1882,0,1.0,11
1883,0,1.0,11
1135,1,-1.0,1471
1136,1,-1.0,1473
1137,1,-1.0,1475
1897,0,1.0,11
1900,0,1.0,11
1903,0,1.0,11
1138,1,-1.0,1477
1139,1,-1.0,1479
1140,1,-1.0,1481
1141,1,-1.0,1483
1142,1,-1.0,1485
1923,0,1.0,11
1926,0,1.0,11
1143,1,-1.0,1487
1144,1,-1.0,1489
1145,1,-1.0,1491
1146,1,-1.0,1493
1147,1,-1.0,1495
1148,1,-1.0,1497
1149,1,-1.0,1499
1968,0,1.0,11
1972,0,1.0,11
2412,0,0.0,10
1977,0,1.0,11
1150,1,-1.0,1501
1985,0,1.0,11
1989,0,1.0,11
2431,0,0.0,10
1994,0,1.0,11
1151,1,-1.0,1503
1152,1,-1.0,1505
2033,0,1.0,11
1153,1,-1.0,1507
2036,0,1.0,11
2039,0,1.0,11
2042,0,1.0,11
1154,1,-1.0,1509
2045,0,1.0,11
2048,0,1.0,11
2051,0,1.0,11
1155,1,-1.0,1511
736,1,-1.0,812
2567,1,-1.0,2616
1688,0,-1.0,610
1616,1,-1.0,1689
737,1,-1.0,814
694,1,-1.0,695
