src,dst
1167,1493
11,1423
276,1180
604,804
2108,740
1572,1495
1675,1443
1612,1415
1428,1413
789,1431
588,1176
2576,770
2,782
1837,794
2465,2616
801,1437
262,750
44,1182
2159,772
2181,1421
87,768
2632,768
342,1501
2172,1184
2126,1505
415,1423
55,1457
1547,1425
2161,756
30,802
2092,1505
222,798
2254,1451
124,1419
1233,778
1610,1419
1387,6
576,1451
1413,1497
59,2616
635,1457
2068,1182
1323,804
1264,1479
387,760
461,1469
2177,2616
1598,1407
1441,802
170,764
345,776
426,1465
1217,695
412,1445
745,1174
58,1505
1527,575
1218,1505
2417,780
1673,1429
1340,772
2466,746
2148,1409
1684,742
1431,786
177,762
1556,746
610,802
1456,1433
621,1425
83,12
2057,810
538,1489
483,1413
1376,1499
405,1186
2316,814
2295,768
1637,1439
2136,740
52,10
498,1471
1092,742
267,695
231,2
1535,1427
2200,1405
1198,774
764,812
2365,1505
2351,1499
525,1453
307,1461
2463,1417
2168,7
393,1473
2493,1425
750,1469
1497,798
2533,1487
183,1505
2441,1503
1007,1190
2302,1451
2211,794
129,744
1319,1437
846,1505
2614,1689
1252,788
1335,1435
2607,1507
800,1487
4,1431
1445,1487
1227,1463
686,11
2420,1469
119,754
2151,1184
1369,1489
1459,768
2160,752
819,1483
986,750
673,1441
615,782
777,1417
2170,1453
851,1469
1462,810
1485,804
2224,796
2258,10
16,1413
817,762
1498,1501
237,776
611,784
2538,1483
2206,756
1400,1435
1418,1465
612,1435
20,1479
2488,1429
314,1417
2137,1433
684,1511
2382,1174
671,1459
2219,3
564,1455
1499,1509
2530,768
671,2616
1195,1425
1284,810
2389,812
746,780
1211,1445
846,1463
2446,778
1642,800
1340,1477
2209,760
2507,1501
845,804
1847,1469
2258,574
668,738
2458,574
49,7
2575,804
2327,1483
1504,7
1583,1483
2573,752
2070,2616
2348,1509
2131,756
1290,752
2196,1184
2532,1423
1307,758
574,1479
256,1419
1564,742
796,754
2566,1174
124,774
2196,1411
1165,2616
1223,1495
1712,1511
391,1499
499,1433
2253,1461
2578,1413
2182,814
1197,762
473,810
93,1485
161,776
1037,6
1620,562
831,1505
796,1469
1312,1497
991,9
1630,790
1665,8
359,1497
1258,1425
1282,814
1343,1188
374,1190
1419,1186
118,1459
1590,1473
1609,1413
1162,1527
801,800
2347,1190
2432,740
328,9
370,7
414,796
756,1465
747,1477
1320,1457
198,814
1527,1475
593,1431
1435,774
1286,802
2196,1455
540,2
2064,1443
616,770
1356,7
2223,750
1243,810
628,814
1556,1499
775,796
2380,810
2251,1431
1712,740
2433,1178
349,1429
2097,1501
1251,1505
499,1463
1182,784
1357,7
2226,575
2265,748
1352,788
582,794
1386,784
2290,1178
2351,762
1653,1188
256,808
647,1178
314,1511
608,10
2073,1180
2496,800
131,1455
1268,1435
8,786
867,1509
238,758
619,1186
157,1435
249,1527
2070,814
1404,1439
1642,1495
426,744
2422,778
689,810
2366,3
1328,772
35,1425
156,1419
2058,9
2126,770
2335,1415
741,750
2426,784
1613,778
2491,796
201,1441
2202,758
241,1441
233,1411
1369,764
1183,778
13,1417
2413,6
1410,11
774,748
1426,1527
216,1413
2465,1423
2154,1475
793,1477
2233,792
1061,10
2127,1503
1084,1471
1184,814
1389,802
1357,744
2372,1423
1665,1417
1400,1479
412,1527
562,1409
2626,748
628,1455
1640,1178
801,8
440,1469
493,1457
539,1443
356,1467
843,750
998,750
2450,8
1600,802
677,1489
806,1413
2435,1503
1735,788
2189,1441
1528,1489
444,1501
1032,1433
285,1178
1777,806
1568,1457
1741,1417
2348,1689
165,744
2343,1453
635,1188
425,808
623,1457
1267,2
1493,1689
1511,1471
2124,780
144,1453
1475,1190
1197,1415
2159,750
1526,1465
1313,802
552,1491
2118,1505
0,1511
244,794
1210,1415
1197,1479
375,782
265,7
876,1443
2430,1409
1321,756
128,1441
2496,1511
2255,780
2603,802
763,804
317,1455
2442,1413
2067,798
2083,1465
2536,750
1517,1527
453,1445
338,610
1685,562
19,1409
795,1507
161,1459
2632,780
422,1419
67,1477
744,796
2278,798
632,750
1678,766
2191,1439
308,796
341,1437
435,1689
1545,790
2181,1509
2356,1497
2523,744
311,10
688,812
2450,792
2213,792
921,754
1160,1483
167,778
127,810
1456,762
301,12
358,740
843,776
2277,1419
539,575
24,742
1381,776
2462,1451
1634,786
2372,786
1267,746
1309,6
811,780
2533,1471
868,1491
771,768
1663,812
341,762
2068,744
1207,804
1424,1477
232,770
825,1176
183,1174
1625,1419
2352,808
2065,1451
772,1427
1256,1405
1423,1473
2631,1511
318,1182
2106,1409
1181,746
98,770
267,1463
1642,1483
2468,1481
1167,746
562,774
804,1481
384,744
1337,1435
2291,1689
591,1184
1476,1178
1640,746
2097,1415
1465,574
362,6
1272,804
754,1182
2561,1433
2205,1178
1304,3
1482,774
426,1419
2326,10
2350,1469
2566,1483
2510,7
752,742
1607,774
2089,1495
291,788
399,758
2060,1487
2590,1457
1461,742
1454,1405
173,8
339,1501
2347,7
1157,1459
687,800
1640,740
2203,1491
427,804
1720,574
1685,2616
131,780
2402,750
2602,744
654,2
134,1467
1418,6
336,746
791,1477
584,1493
1492,802
506,1421
1393,782
2184,1176
1252,7
2175,806
600,812
81,740
38,1415
841,770
292,812
1532,1527
4,1475
257,1182
243,1429
237,9
619,762
93,780
844,790
2150,1435
749,1180
1512,1423
1664,738
268,1427
142,798
292,1511
314,1467
1682,1427
224,1184
2365,1499
1373,1527
58,1469
2356,748
499,802
675,1429
1671,808
1501,770
2209,748
1639,748
772,1451
232,1407
772,810
2381,1511
1607,1188
1328,814
91,746
1571,748
666,6
1448,1457
38,1441
2165,1433
616,754
1502,800
2438,808
673,1409
2414,1427
2438,764
2519,784
2433,796
1161,800
2433,762
1633,1176
447,1182
1413,790
666,1507
1383,742
377,1689
2205,802
2122,790
595,1491
531,1184
1440,1499
1495,776
2606,574
827,1427
1442,792
1183,1457
1678,1411
2405,1481
441,1178
841,1417
1359,1433
1422,1417
346,1190
2460,2616
762,1497
2451,1417
1290,788
1641,1411
555,695
1663,3
635,1479
1635,760
474,1469
