src,same_file,jaccard_val,dst
1945,1,-1,780
481,0,-1,778
2584,1,-1,1419
950,0,-1,562
2548,1,-1,776
1028,1,-1,796
2039,1,-1,1491
1912,1,-1,742
1042,1,-1,758
981,1,-1,750
215,0,-1,746
1152,1,-1,752
950,1,-1,1425
1988,1,-1,766
1093,0,0.0,8
896,1,-1,766
1024,1,-1,780
2003,1,-1,742
1900,1,-1,766
975,1,-1,744
630,0,-1,1527
1828,1,-1,1421
1949,1,-1,1495
926,1,-1,1467
982,1,-1,788
1871,1,-1,1499
892,1,-1,1180
1770,1,-1,1433
1930,1,-1,780
1816,1,-1,1491
725,1,-1,1465
2049,0,0.0,8
1097,1,-1,764
1843,1,-1,792
1964,1,-1,1689
2117,1,-1,1431
722,0,0.0,8
2553,0,0.0,575
235,0,-1,806
952,1,-1,1499
2142,1,-1,772
1807,1,-1,1467
1953,1,-1,756
1896,1,-1,1421
984,1,-1,740
1073,1,-1,1445
517,0,-1,1471
1091,1,-1,770
365,0,-1,1437
1975,0,-1,562
966,1,-1,1475
1958,1,-1,1511
1247,0,0.0,9
1144,0,0.0,9
1936,1,-1,1176
1079,1,-1,1423
207,0,-1,1180
1731,1,-1,1457
2174,1,-1,1437
363,0,-1,1176
1835,0,0.0,7
2545,1,-1,1182
2014,1,-1,1527
1111,1,-1,1499
1814,1,-1,1455
631,0,-1,1501
1711,1,-1,1475
915,1,-1,770
1094,0,0.0,12
408,0,-1,740
729,1,-1,738
989,1,-1,1485
2051,1,-1,1184
1104,1,-1,1174
2035,0,0.0,9
1910,1,-1,746
1739,1,-1,782
215,0,-1,738
1943,1,-1,780
2502,1,-1,1471
2013,1,-1,1487
1154,1,-1,780
920,1,-1,744
1087,1,-1,1433
1009,1,-1,1485
1911,1,-1,1443
1754,1,-1,1174
1074,1,-1,1485
1693,1,-1,774
960,1,-1,1459
1050,1,-1,792
1317,1,-1,1413
1128,1,-1,1176
411,0,0.0,575
720,1,-1,1489
929,1,-1,1433
2022,1,-1,1445
1721,1,-1,1186
706,1,-1,738
1781,1,-1,1415
954,0,0.0,574
1271,1,-1,1180
2239,1,-1,1174
1772,1,-1,1487
1990,1,-1,1451
1151,1,-1,762
958,1,-1,786
947,1,-1,1431
2031,1,-1,768
1094,1,-1,1421
1768,1,-1,784
1808,1,-1,1182
1918,1,-1,1475
1817,1,-1,754
694,1,-1,782
1097,1,-1,1423
662,0,-1,800
723,1,-1,1461
2541,1,-1,1409
1146,1,-1,752
913,1,-1,1465
1983,1,-1,808
1978,0,0.0,11
2121,1,-1,1419
1074,1,-1,790
1331,1,-1,1190
2239,1,-1,776
1919,1,-1,776
916,1,-1,1411
2016,1,-1,1689
2021,1,-1,788
1085,1,-1,782
1923,1,-1,1431
1041,1,-1,782
2549,1,-1,1429
694,1,-1,1443
1760,1,-1,1501
977,1,-1,768
1810,0,0.0,6
196,0,-1,1188
2522,1,-1,1491
735,1,-1,792
900,1,-1,766
2263,1,-1,798
1123,1,-1,758
724,1,-1,1489
933,1,-1,1527
2099,1,-1,1405
1285,1,-1,1469
1782,0,-1,610
1041,1,-1,770
1100,1,-1,794
667,0,-1,1463
1998,1,-1,788
1786,1,-1,1415
2030,0,-1,610
996,1,-1,1497
913,1,-1,1483
1765,1,-1,1479
1696,1,-1,1469
1873,1,-1,766
2048,1,-1,738
1925,1,-1,784
2638,1,-1,1471
1930,1,-1,766
633,0,-1,738
1818,1,-1,1427
365,0,-1,762
1001,1,-1,762
1727,1,-1,1485
734,1,-1,812
2431,1,-1,1461
1075,1,-1,752
1397,1,-1,760
1877,1,-1,1505
1002,1,-1,1505
2020,1,-1,812
667,0,-1,1453
1798,1,-1,1505
1009,1,-1,1427
1999,0,0.0,3
1992,1,-1,738
996,1,-1,796
1702,1,-1,796
1075,1,-1,1459
2040,1,-1,1465
2502,1,-1,782
2559,1,-1,1527
1985,1,-1,1483
1732,1,-1,1477
1981,1,-1,760
1029,1,-1,1433
913,1,-1,1429
1812,1,-1,754
1829,0,0.0,11
1909,1,-1,808
965,1,-1,790
962,1,-1,792
1004,1,-1,812
1023,1,-1,1176
1066,1,-1,1495
1147,1,-1,1481
2017,1,-1,792
927,0,0.0,575
1135,1,-1,1190
1798,1,-1,740
1010,1,-1,2616
