id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,6,0,67,1,packages\util-deprecate\browser.js,0,0
3,FunctionDeclaration,nan,-1,2,1,26,0,47,1,packages\util-deprecate\browser.js,0,1
4,FunctionDeclaration,nan,-1,1,1,57,0,67,1,packages\util-deprecate\browser.js,0,2
5,AssignmentExpression,nan,-1,-1,-1,6,0,6,26,packages\util-deprecate\browser.js,0,3
6,Identifier,deprecate,-1,-1,-1,26,9,26,18,packages\util-deprecate\browser.js,0,4
7,Identifier,fn,-1,-1,-1,26,20,26,22,packages\util-deprecate\browser.js,0,5
8,Identifier,msg,-1,-1,-1,26,24,26,27,packages\util-deprecate\browser.js,0,6
10,BlockStatement,nan,-1,-1,-1,26,29,47,1,packages\util-deprecate\browser.js,0,7
11,Identifier,config,-1,-1,-1,57,9,57,15,packages\util-deprecate\browser.js,0,8
12,Identifier,name,-1,-1,-1,57,17,57,21,packages\util-deprecate\browser.js,0,9
14,BlockStatement,nan,-1,-1,-1,57,23,67,1,packages\util-deprecate\browser.js,0,10
15,MemberExpression,nan,-1,-1,-1,6,0,6,14,packages\util-deprecate\browser.js,0,11
16,Identifier,deprecate,-1,-1,-1,6,17,6,26,packages\util-deprecate\browser.js,0,12
17,IfStatement,nan,-1,-1,-1,27,2,29,3,packages\util-deprecate\browser.js,0,13
18,VariableDeclaration,nan,-1,-1,-1,31,2,31,21,packages\util-deprecate\browser.js,0,14
19,FunctionDeclaration,nan,-1,0,1,32,2,44,3,packages\util-deprecate\browser.js,0,15
20,ReturnStatement,nan,1,-1,-1,46,2,46,20,packages\util-deprecate\browser.js,0,16
21,TryStatement,nan,-1,-1,-1,59,2,63,3,packages\util-deprecate\browser.js,0,17
22,VariableDeclaration,nan,-1,-1,-1,64,2,64,38,packages\util-deprecate\browser.js,0,18
23,IfStatement,nan,-1,-1,-1,65,2,65,32,packages\util-deprecate\browser.js,0,19
24,ReturnStatement,nan,1,-1,-1,66,2,66,46,packages\util-deprecate\browser.js,0,20
25,BlockStatement,nan,-1,-1,-1,27,31,29,3,packages\util-deprecate\browser.js,0,21
26,CallExpression,nan,1,-1,-1,27,6,27,29,packages\util-deprecate\browser.js,0,22
27,Identifier,deprecated,-1,-1,-1,32,11,32,21,packages\util-deprecate\browser.js,0,23
29,BlockStatement,nan,-1,-1,-1,32,24,44,3,packages\util-deprecate\browser.js,0,24
30,Identifier,deprecated,-1,-1,-1,46,9,46,19,packages\util-deprecate\browser.js,0,25
31,ReturnStatement,nan,1,-1,-1,65,19,65,32,packages\util-deprecate\browser.js,0,26
34,ReturnStatement,nan,1,-1,-1,28,4,28,14,packages\util-deprecate\browser.js,0,27
36,Identifier,config,-1,-1,-1,27,6,27,12,packages\util-deprecate\browser.js,0,28
37,IfStatement,nan,-1,-1,-1,33,4,42,5,packages\util-deprecate\browser.js,0,29
38,ReturnStatement,nan,1,-1,-1,43,4,43,37,packages\util-deprecate\browser.js,0,30
41,Identifier,val,-1,-1,-1,65,14,65,17,packages\util-deprecate\browser.js,0,31
42,CallExpression,nan,0,-1,-1,66,9,66,34,packages\util-deprecate\browser.js,0,32
44,Identifier,fn,-1,-1,-1,28,11,28,13,packages\util-deprecate\browser.js,0,33
45,BlockStatement,nan,-1,-1,-1,33,17,42,5,packages\util-deprecate\browser.js,0,34
46,UnaryExpression,nan,1,-1,-1,33,8,33,15,packages\util-deprecate\browser.js,0,35
47,CallExpression,nan,2,-1,-1,43,11,43,36,packages\util-deprecate\browser.js,0,36
48,MemberExpression,nan,-1,-1,-1,66,9,66,32,packages\util-deprecate\browser.js,0,37
49,IfStatement,nan,-1,-1,-1,34,6,40,7,packages\util-deprecate\browser.js,0,38
51,Identifier,warned,-1,-1,-1,33,9,33,15,packages\util-deprecate\browser.js,0,39
52,ThisExpression,nan,-1,-1,-1,43,20,43,24,packages\util-deprecate\browser.js,0,40
53,Identifier,arguments,-1,-1,-1,43,26,43,35,packages\util-deprecate\browser.js,0,41
54,MemberExpression,nan,-1,-1,-1,43,11,43,19,packages\util-deprecate\browser.js,0,42
55,BlockStatement,nan,-1,-1,-1,34,38,36,7,packages\util-deprecate\browser.js,0,43
56,CallExpression,nan,1,-1,-1,34,10,34,36,packages\util-deprecate\browser.js,0,44
57,AssignmentExpression,nan,-1,-1,-1,41,6,41,19,packages\util-deprecate\browser.js,0,45
58,ThrowStatement,nan,1,-1,-1,35,8,35,29,packages\util-deprecate\browser.js,0,46
60,Identifier,config,-1,-1,-1,34,10,34,16,packages\util-deprecate\browser.js,0,47
61,Identifier,warned,-1,-1,-1,41,6,41,12,packages\util-deprecate\browser.js,0,48
63,NewExpression,nan,1,-1,-1,35,14,35,28,packages\util-deprecate\browser.js,0,49
64,Identifier,msg,-1,-1,-1,35,24,35,27,packages\util-deprecate\browser.js,0,50
65,Identifier,Error,-1,-1,-1,35,18,35,23,packages\util-deprecate\browser.js,0,51
66,Program,nan,-1,-1,-1,6,0,6,43,packages\util-deprecate\node.js,0,52
68,AssignmentExpression,nan,-1,-1,-1,6,0,6,42,packages\util-deprecate\node.js,0,53
69,MemberExpression,nan,-1,-1,-1,6,0,6,14,packages\util-deprecate\node.js,0,54
70,MemberExpression,nan,-1,-1,-1,6,17,6,42,packages\util-deprecate\node.js,0,55
