src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,7
6,8
6,9
10,18
10,19
11,20
11,21
12,22
12,23
13,24
13,25
14,26
14,27
14,28
15,29
15,30
16,31
16,32
17,33
17,34
21,35
21,36
23,37
25,38
25,39
26,40
26,41
27,42
27,43
30,44
30,45
32,46
32,47
34,48
34,49
36,50
36,51
36,52
36,53
36,54
36,55
36,56
36,57
36,58
37,59
39,60
39,61
39,62
39,63
45,64
47,65
49,66
49,67
50,68
50,69
52,70
55,73
55,74
58,80
59,81
62,82
62,83
63,84
65,86
67,87
67,88
67,89
68,90
70,92
71,93
72,94
72,95
74,96
74,97
75,98
75,99
75,100
76,101
76,102
76,103
77,104
77,105
77,106
78,107
78,108
78,109
79,110
79,111
81,112
81,113
85,114
85,115
86,118
86,119
88,120
89,121
90,122
91,125
91,126
96,129
98,130
98,131
99,132
99,133
102,134
102,135
104,136
104,137
105,138
105,139
108,140
108,141
115,143
115,144
122,146
127,147
127,148
128,149
128,150
135,151
139,152
141,153
142,154
142,155
142,156
144,157
144,158
145,160
151,162
151,163
152,164
152,165
153,166
153,167
154,168
154,169
155,170
155,171
158,172
158,173
159,174
159,175
159,176
161,177
161,178
173,179
174,180
174,181
175,182
175,183
179,194
179,195
179,196
184,197
184,198
185,199
185,200
188,201
188,202
188,203
190,204
190,205
190,206
190,207
193,208
193,209
195,210
195,211
212,213
212,214
215,216
215,217
218,220
218,221
219,222
219,223
220,224
220,225
222,226
222,227
227,228
229,239
230,240
230,241
231,242
232,243
233,244
234,245
235,246
235,247
236,248
236,249
236,250
237,251
237,252
238,253
238,254
238,255
240,256
240,257
242,258
243,259
258,260
259,261
262,267
262,268
263,269
263,270
264,271
264,272
265,273
265,274
266,275
266,276
267,277
267,278
271,279
271,280
282,283
282,284
282,285
282,286
286,287
287,288
288,289
288,290
289,291
289,292
289,293
289,294
289,295
290,296
295,297
295,298
295,299
297,300
297,301
297,302
297,303
299,304
303,305
303,306
305,310
305,311
306,312
309,313
309,314
310,315
310,316
311,317
315,318
315,319
318,321
318,322
318,323
318,324
318,325
319,326
320,327
320,328
320,329
320,330
320,331
320,332
320,333
320,334
320,335
322,336
322,337
323,338
323,339
325,340
328,341
328,342
336,343
337,344
337,345
338,346
342,347
342,348
343,349
343,350
343,351
344,352
346,353
346,354
346,355
348,356
356,357
356,358
357,359
357,360
361,362
363,364
363,365
364,366
366,367
368,369
368,370
371,372
371,373
374,377
375,378
376,379
