src,dst
15,49
291,364
39,99
13,364
205,99
126,25
7,99
32,220
255,105
91,297
269,6
308,102
224,175
59,102
366,144
312,27
305,32
227,222
90,155
207,222
258,21
32,220
162,289
205,6
156,287
299,155
222,32
211,25
335,222
250,99
103,220
73,242
314,102
138,102
171,175
352,105
146,23
180,364
378,6
168,220
251,23
252,99
311,6
176,243
84,364
71,102
348,102
39,21
302,287
257,222
257,287
156,243
307,175
340,49
113,102
275,242
13,32
121,289
318,21
27,30
350,21
87,220
248,32
359,297
289,27
137,102
280,99
92,287
341,175
328,25
203,23
349,21
277,108
39,243
99,105
209,32
123,242
275,155
213,32
379,364
33,220
338,155
249,30
9,99
96,108
149,287
207,102
46,23
134,30
61,6
304,25
73,105
280,243
337,364
332,289
250,25
183,21
360,49
162,297
204,144
216,175
225,108
321,328
123,23
194,32
110,21
187,102
287,25
106,99
140,328
225,242
89,30
121,108
186,297
115,108
117,99
214,25
176,108
180,105
281,297
366,108
185,220
8,30
147,297
168,105
59,155
334,21
254,222
277,297
114,242
54,23
48,364
36,30
344,297
37,222
107,108
164,49
129,144
214,364
199,328
90,155
55,242
312,102
62,21
295,328
137,222
32,105
340,243
306,243
260,108
99,144
92,99
364,21
216,328
284,32
25,220
94,222
66,105
13,175
205,30
44,6
62,6
182,105
302,242
318,102
302,328
150,220
337,21
339,364
259,21
66,242
211,27
171,222
339,155
311,328
202,287
180,243
275,23
350,328
186,328
149,25
24,287
111,328
178,21
119,102
281,99
19,49
140,23
203,144
301,105
117,175
40,27
216,27
27,328
53,105
216,222
342,99
24,243
204,287
29,99
372,21
272,21
244,289
342,220
46,6
132,144
318,287
32,6
63,289
48,105
13,32
172,222
228,27
94,99
193,49
191,25
18,27
210,49
198,99
129,328
169,220
341,6
8,99
67,287
312,49
172,23
255,222
227,23
250,108
62,102
121,328
315,23
95,297
50,49
342,222
323,23
6,21
89,144
296,175
88,297
223,32
143,49
198,6
1,25
226,49
126,27
146,25
101,30
155,364
256,287
289,364
74,364
161,175
41,6
106,175
323,99
324,99
3,32
207,175
51,364
342,21
366,99
196,27
113,49
39,222
204,99
94,220
10,289
341,105
319,49
287,21
2,242
223,222
221,27
99,220
44,289
20,99
12,289
28,222
253,155
220,27
305,25
247,30
294,220
204,102
185,289
34,99
11,102
288,21
30,105
178,49
35,287
289,222
124,364
145,222
185,108
191,30
58,155
227,49
90,105
295,243
226,297
59,242
185,25
46,32
322,175
157,155
2,222
180,102
373,27
