src,same_file,jaccard_val,dst
80,1,1.0,2
150,1,-1.0,169
151,1,-1.0,171
152,1,-1.0,173
81,1,-1.0,108
90,1,-1.0,113
135,1,-1.0,144
53,1,-1.0,73
249,1,-1.0,252
280,1,-1.0,283
274,1,-1.0,275
306,1,-1.0,309
307,1,-1.0,311
325,1,-1.0,336
327,1,-1.0,339
328,1,-1.0,341
329,1,-1.0,343
330,1,-1.0,345
308,1,-1.0,313
410,1,-1.0,411
438,1,-1.0,441
440,1,-1.0,445
472,1,-1.0,473
492,1,-1.0,493
511,1,-1.0,512
537,1,-1.0,540
531,1,-1.0,532
564,1,-1.0,570
565,1,-1.0,572
566,1,-1.0,574
567,1,-1.0,576
568,1,-1.0,578
569,1,-1.0,580
705,1,-1.0,708
699,1,-1.0,700
654,1,-1.0,657
655,1,-1.0,659
656,1,-1.0,661
640,1,-1.0,641
731,1,-1.0,732
752,1,-1.0,757
753,1,-1.0,759
754,1,-1.0,761
755,1,-1.0,763
756,1,-1.0,765
832,1,-1.0,843
837,1,-1.0,854
