src,same_file,jaccard_val,dst
1004,0,-1,336
327,0,-1,427
80,0,-1,300
938,0,-1,572
1004,0,-1,693
948,0,-1,759
241,0,-1,983
692,0,-1,843
780,0,-1,576
603,0,-1,757
717,0,-1,757
267,0,-1,169
1034,0,-1,341
308,1,-1,309
990,0,-1,765
395,0,-1,473
677,0,-1,300
492,0,-1,336
705,0,-1,404
705,0,-1,983
605,0,-1,425
492,0,-1,574
752,0,-1,693
241,0,-1,661
787,0,-1,144
267,0,-1,505
754,0,-1,570
52,0,-1,576
424,0,-1,275
511,0,-1,300
478,0,-1,983
817,0,-1,268
598,0,-1,950
485,0,-1,173
938,0,-1,819
601,0,-1,173
135,0,-1,343
731,0,-1,171
531,0,-1,313
1034,0,-1,843
931,0,-1,580
328,0,-1,759
386,0,-1,659
567,0,-1,973
567,0,-1,693
537,0,-1,108
745,0,-1,636
