id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,304,1,packages\walkdir\walkdir.js,0,0
2,VariableDeclaration,nan,-1,-1,-1,1,0,4,21,packages\walkdir\walkdir.js,0,1
7,FunctionDeclaration,nan,-1,3,1,45,0,304,1,packages\walkdir\walkdir.js,0,2
8,AssignmentExpression,nan,-1,-1,-1,7,0,7,24,packages\walkdir\walkdir.js,0,3
9,AssignmentExpression,nan,-1,-1,-1,9,0,9,37,packages\walkdir\walkdir.js,0,4
10,AssignmentExpression,nan,-1,-1,-1,11,0,16,1,packages\walkdir\walkdir.js,0,5
11,AssignmentExpression,nan,-1,-1,-1,19,0,43,1,packages\walkdir\walkdir.js,0,6
12,Identifier,walkdir,-1,-1,-1,45,9,45,16,packages\walkdir\walkdir.js,0,7
13,Identifier,path,-1,-1,-1,45,17,45,21,packages\walkdir\walkdir.js,0,8
14,Identifier,options,-1,-1,-1,45,22,45,29,packages\walkdir\walkdir.js,0,9
15,Identifier,cb,-1,-1,-1,45,30,45,32,packages\walkdir\walkdir.js,0,10
17,BlockStatement,nan,-1,-1,-1,45,33,304,1,packages\walkdir\walkdir.js,0,11
18,MemberExpression,nan,-1,-1,-1,7,0,7,14,packages\walkdir\walkdir.js,0,12
19,Identifier,walkdir,-1,-1,-1,7,17,7,24,packages\walkdir\walkdir.js,0,13
20,MemberExpression,nan,-1,-1,-1,9,0,9,12,packages\walkdir\walkdir.js,0,14
21,AssignmentExpression,nan,-1,-1,-1,9,15,9,37,packages\walkdir\walkdir.js,0,15
22,MemberExpression,nan,-1,-1,-1,11,0,11,12,packages\walkdir\walkdir.js,0,16
23,FunctionExpression,nan,-1,3,1,11,15,16,1,packages\walkdir\walkdir.js,0,17
24,MemberExpression,nan,-1,-1,-1,19,0,19,13,packages\walkdir\walkdir.js,0,18
25,FunctionExpression,nan,-1,3,1,19,16,43,1,packages\walkdir\walkdir.js,0,19
26,IfStatement,nan,-1,-1,-1,47,2,47,48,packages\walkdir\walkdir.js,0,20
28,IfStatement,nan,-1,-1,-1,50,2,52,3,packages\walkdir\walkdir.js,0,21
29,VariableDeclaration,nan,-1,-1,-1,54,2,54,29,packages\walkdir\walkdir.js,0,22
30,VariableDeclaration,nan,-1,-1,-1,56,2,77,14,packages\walkdir\walkdir.js,0,23
