src,dst
0,1
0,2
0,3
2,5
2,6
2,7
4,12
4,13
7,14
8,15
8,16
8,17
9,18
9,19
10,20
10,21
11,22
11,23
14,24
14,25
19,30
19,31
21,32
21,33
23,34
24,35
26,36
26,37
27,38
28,39
28,40
29,41
29,42
31,43
33,44
33,45
34,46
34,47
35,48
35,49
40,52
43,54
45,57
47,58
52,59
53,60
53,61
55,62
56,63
56,64
56,65
64,68
64,69
64,70
66,71
67,72
70,73
70,74
73,75
73,76
74,77
74,78
75,79
77,80
78,81
80,84
80,85
82,86
82,87
82,88
82,89
83,90
85,91
91,93
91,94
91,95
92,96
97,98
97,99
97,100
97,101
97,102
97,103
97,104
97,105
105,106
105,107
105,108
105,109
109,116
109,117
110,118
110,119
111,120
111,121
112,122
112,123
113,124
113,125
114,126
114,127
115,128
115,129
116,130
119,131
119,132
121,133
121,134
123,135
123,136
125,137
125,138
127,139
127,140
129,141
129,142
130,144
132,145
134,146
136,147
138,148
140,149
144,150
151,160
151,161
152,162
152,163
153,164
153,165
154,166
154,167
155,168
155,169
156,170
156,171
157,172
160,173
162,174
164,175
166,176
168,177
170,178
179,195
180,196
180,197
181,198
182,199
183,200
183,201
184,202
185,203
186,204
186,205
187,206
188,207
189,208
189,209
190,210
191,211
192,212
192,213
193,214
194,215
