src,dst
115,170
4,64
216,121
65,119
150,160
162,168
177,170
62,21
77,170
13,164
202,2
123,162
52,105
7,166
21,127
196,40
36,123
19,170
13,162
145,40
41,64
64,129
211,129
4,105
203,160
5,123
134,160
185,119
2,64
88,64
18,123
191,129
196,125
116,40
120,129
3,168
168,160
133,160
100,64
72,121
95,105
203,64
9,105
175,164
38,64
160,40
106,119
58,160
176,105
178,21
22,40
18,23
63,129
123,164
105,23
47,166
47,119
94,170
216,123
18,105
102,168
37,121
88,168
48,105
97,125
59,162
90,21
0,160
144,119
134,2
206,127
112,166
122,162
59,64
135,23
149,121
147,160
73,170
87,129
30,119
112,119
0,123
136,162
10,105
119,166
179,64
162,2
198,168
7,2
69,2
61,168
97,123
147,64
164,125
85,160
31,166
27,166
28,162
211,64
55,168
30,166
88,170
101,127
84,40
38,160
108,166
98,121
42,121
112,162
213,119
148,129
4,162
3,40
147,105
33,164
9,119
170,162
129,40
132,127
118,160
178,129
41,19
101,160
147,170
139,105
127,164
37,40
166,119
20,64
205,166
115,2
144,168
31,2
89,105
207,164
49,121
5,164
142,166
121,105
203,127
118,168
30,170
51,119
32,64
164,105
44,164
145,123
76,129
42,170
81,105
121,119
53,162
201,23
81,19
125,105
215,19
75,164
15,164
86,127
46,40
126,125
122,168
88,164
