id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,111,1,packages\walker\lib\walker.js,0,0
3,VariableDeclaration,nan,-1,-1,-1,3,0,7,36,packages\walker\lib\walker.js,0,1
4,FunctionDeclaration,nan,-1,1,1,14,0,20,1,packages\walker\lib\walker.js,0,2
6,VariableDeclaration,nan,-1,-1,-1,27,0,30,1,packages\walker\lib\walker.js,0,3
10,AssignmentExpression,nan,-1,-1,-1,1,0,1,23,packages\walker\lib\walker.js,0,4
11,Identifier,Walker,-1,-1,-1,14,9,14,15,packages\walker\lib\walker.js,0,5
12,Identifier,root,-1,-1,-1,14,16,14,20,packages\walker\lib\walker.js,0,6
14,BlockStatement,nan,-1,-1,-1,14,22,20,1,packages\walker\lib\walker.js,0,7
15,CallExpression,nan,2,-1,-1,21,0,21,35,packages\walker\lib\walker.js,0,8
16,AssignmentExpression,nan,-1,-1,-1,38,0,41,1,packages\walker\lib\walker.js,0,9
17,AssignmentExpression,nan,-1,-1,-1,46,0,106,1,packages\walker\lib\walker.js,0,10
18,AssignmentExpression,nan,-1,-1,-1,108,0,111,1,packages\walker\lib\walker.js,0,11
19,MemberExpression,nan,-1,-1,-1,1,0,1,14,packages\walker\lib\walker.js,0,12
20,Identifier,Walker,-1,-1,-1,1,17,1,23,packages\walker\lib\walker.js,0,13
21,IfStatement,nan,-1,-1,-1,15,2,15,56,packages\walker\lib\walker.js,0,14
26,Identifier,Walker,-1,-1,-1,21,14,21,20,packages\walker\lib\walker.js,0,15
27,Identifier,EventEmitter,-1,-1,-1,21,22,21,34,packages\walker\lib\walker.js,0,16
28,MemberExpression,nan,-1,-1,-1,21,0,21,13,packages\walker\lib\walker.js,0,17
29,MemberExpression,nan,-1,-1,-1,38,0,38,26,packages\walker\lib\walker.js,0,18
30,FunctionExpression,nan,-1,1,1,38,29,41,1,packages\walker\lib\walker.js,0,19
31,MemberExpression,nan,-1,-1,-1,46,0,46,19,packages\walker\lib\walker.js,0,20
32,FunctionExpression,nan,-1,1,1,46,22,106,1,packages\walker\lib\walker.js,0,21
33,MemberExpression,nan,-1,-1,-1,108,0,108,24,packages\walker\lib\walker.js,0,22
34,FunctionExpression,nan,-1,0,1,108,27,111,1,packages\walker\lib\walker.js,0,23
35,ReturnStatement,nan,1,-1,-1,15,33,15,56,packages\walker\lib\walker.js,0,24
36,UnaryExpression,nan,1,-1,-1,15,6,15,31,packages\walker\lib\walker.js,0,25
37,CallExpression,nan,1,-1,-1,16,2,16,25,packages\walker\lib\walker.js,0,26
38,AssignmentExpression,nan,-1,-1,-1,17,2,17,19,packages\walker\lib\walker.js,0,27
39,AssignmentExpression,nan,-1,-1,-1,18,2,18,46,packages\walker\lib\walker.js,0,28
40,CallExpression,nan,1,-1,-1,19,2,19,15,packages\walker\lib\walker.js,0,29
41,Identifier,fn,-1,-1,-1,38,38,38,40,packages\walker\lib\walker.js,0,30
43,BlockStatement,nan,-1,-1,-1,38,42,41,1,packages\walker\lib\walker.js,0,31
44,Identifier,entry,-1,-1,-1,46,31,46,36,packages\walker\lib\walker.js,0,32
46,BlockStatement,nan,-1,-1,-1,46,38,106,1,packages\walker\lib\walker.js,0,33
48,BlockStatement,nan,-1,-1,-1,108,38,111,1,packages\walker\lib\walker.js,0,34
49,NewExpression,nan,1,-1,-1,15,40,15,56,packages\walker\lib\walker.js,0,35
51,ThisExpression,nan,-1,-1,-1,16,20,16,24,packages\walker\lib\walker.js,0,36
52,MemberExpression,nan,-1,-1,-1,16,2,16,19,packages\walker\lib\walker.js,0,37
53,MemberExpression,nan,-1,-1,-1,17,2,17,15,packages\walker\lib\walker.js,0,38
55,MemberExpression,nan,-1,-1,-1,18,2,18,17,packages\walker\lib\walker.js,0,39
56,FunctionExpression,nan,-1,0,1,18,20,18,46,packages\walker\lib\walker.js,0,40
57,Identifier,root,-1,-1,-1,19,10,19,14,packages\walker\lib\walker.js,0,41
58,MemberExpression,nan,-1,-1,-1,19,2,19,9,packages\walker\lib\walker.js,0,42
60,ReturnStatement,nan,1,-1,-1,40,2,40,13,packages\walker\lib\walker.js,0,43
61,VariableDeclaration,nan,-1,-1,-1,47,2,47,17,packages\walker\lib\walker.js,0,44
64,ReturnStatement,nan,1,-1,-1,105,2,105,13,packages\walker\lib\walker.js,0,45
65,IfStatement,nan,-1,-1,-1,109,2,109,45,packages\walker\lib\walker.js,0,46
66,ReturnStatement,nan,1,-1,-1,110,2,110,13,packages\walker\lib\walker.js,0,47
67,Identifier,root,-1,-1,-1,15,51,15,55,packages\walker\lib\walker.js,0,48
68,Identifier,Walker,-1,-1,-1,15,44,15,50,packages\walker\lib\walker.js,0,49
69,ThisExpression,nan,-1,-1,-1,15,8,15,12,packages\walker\lib\walker.js,0,50
70,Identifier,Walker,-1,-1,-1,15,24,15,30,packages\walker\lib\walker.js,0,51
72,BlockStatement,nan,-1,-1,-1,18,31,18,46,packages\walker\lib\walker.js,0,52
73,AssignmentExpression,nan,-1,-1,-1,39,2,39,22,packages\walker\lib\walker.js,0,53
74,ThisExpression,nan,-1,-1,-1,40,9,40,13,packages\walker\lib\walker.js,0,54
75,UpdateExpression,nan,1,-1,-1,48,2,48,17,packages\walker\lib\walker.js,0,55
76,CallExpression,nan,2,-1,-1,50,2,104,4,packages\walker\lib\walker.js,0,56
77,ThisExpression,nan,-1,-1,-1,105,9,105,13,packages\walker\lib\walker.js,0,57
80,ThisExpression,nan,-1,-1,-1,110,9,110,13,packages\walker\lib\walker.js,0,58
81,ReturnStatement,nan,1,-1,-1,18,33,18,45,packages\walker\lib\walker.js,0,59
82,MemberExpression,nan,-1,-1,-1,39,2,39,17,packages\walker\lib\walker.js,0,60
83,Identifier,fn,-1,-1,-1,39,20,39,22,packages\walker\lib\walker.js,0,61
84,MemberExpression,nan,-1,-1,-1,48,2,48,15,packages\walker\lib\walker.js,0,62
85,Identifier,entry,-1,-1,-1,50,11,50,16,packages\walker\lib\walker.js,0,63
86,FunctionExpression,nan,-1,2,1,50,18,104,3,packages\walker\lib\walker.js,0,64
87,MemberExpression,nan,-1,-1,-1,50,2,50,10,packages\walker\lib\walker.js,0,65
88,CallExpression,nan,1,-1,-1,109,29,109,45,packages\walker\lib\walker.js,0,66
89,UpdateExpression,nan,1,-1,-1,109,6,109,21,packages\walker\lib\walker.js,0,67
92,Identifier,er,-1,-1,-1,50,27,50,29,packages\walker\lib\walker.js,0,68
93,Identifier,stat,-1,-1,-1,50,31,50,35,packages\walker\lib\walker.js,0,69
95,BlockStatement,nan,-1,-1,-1,50,37,104,3,packages\walker\lib\walker.js,0,70
97,MemberExpression,nan,-1,-1,-1,109,29,109,38,packages\walker\lib\walker.js,0,71
98,MemberExpression,nan,-1,-1,-1,109,8,109,21,packages\walker\lib\walker.js,0,72
99,IfStatement,nan,-1,-1,-1,51,4,55,5,packages\walker\lib\walker.js,0,73
100,IfStatement,nan,-1,-1,-1,57,4,103,5,packages\walker\lib\walker.js,0,74
101,BlockStatement,nan,-1,-1,-1,51,12,55,5,packages\walker\lib\walker.js,0,75
102,Identifier,er,-1,-1,-1,51,8,51,10,packages\walker\lib\walker.js,0,76
103,BlockStatement,nan,-1,-1,-1,57,28,76,5,packages\walker\lib\walker.js,0,77
