src,dst
0,1
1,3
1,4
1,5
1,6
2,7
2,8
6,9
6,10
6,11
6,12
9,13
9,14
10,15
11,17
12,18
12,19
13,20
14,21
14,22
15,23
16,25
16,26
19,27
19,28
19,29
19,30
20,31
20,32
23,33
24,34
25,35
25,36
29,37
29,38
30,39
32,40
32,41
42,47
42,48
43,49
43,50
44,51
49,52
49,53
54,55
54,56
57,58
57,59
60,61
60,62
61,63
61,64
64,65
64,66
64,67
64,68
64,69
64,70
64,71
64,72
65,73
65,74
65,75
68,78
68,79
75,88
75,89
76,90
76,91
77,92
77,93
77,94
80,95
81,96
82,97
83,98
83,99
84,100
84,101
85,102
86,103
86,104
86,105
87,106
89,107
107,110
108,111
108,112
109,113
110,114
110,115
114,116
114,117
115,119
118,120
119,121
119,122
119,123
