src,dst
49,12
11,12
22,49
68,1
27,1
101,49
28,65
4,12
70,61
29,12
29,12
13,61
110,12
52,12
41,107
98,25
90,107
53,12
56,65
59,12
3,25
112,25
5,68
99,68
25,65
34,65
74,49
97,61
25,65
109,65
47,12
26,61
100,65
39,61
75,61
21,1
52,68
71,49
29,68
104,12
44,49
92,65
88,25
55,107
29,1
69,68
55,1
121,49
71,107
80,1
41,49
110,107
46,61
12,65
34,107
72,1
38,1
39,1
116,12
65,61
69,1
29,25
111,61
113,61
74,12
45,61
117,61
76,107
46,68
104,49
98,68
104,12
30,68
15,25
40,25
116,68
30,61
80,1
27,12
25,61
65,25
25,107
58,61
19,12
74,68
109,107
44,25
75,61
19,61
123,61
56,1
49,61
2,107
21,65
53,49
76,49
31,65
63,107
70,107
