id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,6,0,29,1,packages\wrappy\wrappy.js,0,0
3,FunctionDeclaration,nan,-1,2,1,7,0,29,1,packages\wrappy\wrappy.js,0,1
4,AssignmentExpression,nan,-1,-1,-1,6,0,6,23,packages\wrappy\wrappy.js,0,2
5,Identifier,wrappy,-1,-1,-1,7,9,7,15,packages\wrappy\wrappy.js,0,3
6,Identifier,fn,-1,-1,-1,7,17,7,19,packages\wrappy\wrappy.js,0,4
7,Identifier,cb,-1,-1,-1,7,21,7,23,packages\wrappy\wrappy.js,0,5
9,BlockStatement,nan,-1,-1,-1,7,25,29,1,packages\wrappy\wrappy.js,0,6
10,MemberExpression,nan,-1,-1,-1,6,0,6,14,packages\wrappy\wrappy.js,0,7
11,Identifier,wrappy,-1,-1,-1,6,17,6,23,packages\wrappy\wrappy.js,0,8
12,IfStatement,nan,-1,-1,-1,8,2,8,37,packages\wrappy\wrappy.js,0,9
13,IfStatement,nan,-1,-1,-1,10,2,11,48,packages\wrappy\wrappy.js,0,10
15,ReturnStatement,nan,1,-1,-1,17,2,17,16,packages\wrappy\wrappy.js,0,11
16,FunctionDeclaration,nan,-1,0,1,19,2,28,3,packages\wrappy\wrappy.js,0,12
17,ReturnStatement,nan,1,-1,-1,8,16,8,37,packages\wrappy\wrappy.js,0,13
18,LogicalExpression,nan,-1,-1,-1,8,6,8,14,packages\wrappy\wrappy.js,0,14
19,ThrowStatement,nan,1,-1,-1,11,4,11,48,packages\wrappy\wrappy.js,0,15
21,CallExpression,nan,1,-1,-1,13,2,15,4,packages\wrappy\wrappy.js,0,16
22,Identifier,wrapper,-1,-1,-1,17,9,17,16,packages\wrappy\wrappy.js,0,17
23,Identifier,wrapper,-1,-1,-1,19,11,19,18,packages\wrappy\wrappy.js,0,18
25,BlockStatement,nan,-1,-1,-1,19,21,28,3,packages\wrappy\wrappy.js,0,19
26,CallExpression,nan,1,-1,-1,8,23,8,37,packages\wrappy\wrappy.js,0,20
27,Identifier,fn,-1,-1,-1,8,6,8,8,packages\wrappy\wrappy.js,0,21
28,Identifier,cb,-1,-1,-1,8,12,8,14,packages\wrappy\wrappy.js,0,22
29,NewExpression,nan,1,-1,-1,11,10,11,48,packages\wrappy\wrappy.js,0,23
30,UnaryExpression,nan,1,-1,-1,10,6,10,15,packages\wrappy\wrappy.js,0,24
32,FunctionExpression,nan,-1,1,0,13,26,15,3,packages\wrappy\wrappy.js,0,25
33,MemberExpression,nan,-1,-1,-1,13,2,13,25,packages\wrappy\wrappy.js,0,26
34,VariableDeclaration,nan,-1,-1,-1,20,4,20,39,packages\wrappy\wrappy.js,0,27
35,VariableDeclaration,nan,-1,-1,-1,21,4,21,44,packages\wrappy\wrappy.js,0,28
36,IfStatement,nan,-1,-1,-1,22,4,26,5,packages\wrappy\wrappy.js,0,29
37,ReturnStatement,nan,1,-1,-1,27,4,27,14,packages\wrappy\wrappy.js,0,30
38,Identifier,cb,-1,-1,-1,8,34,8,36,packages\wrappy\wrappy.js,0,31
39,CallExpression,nan,1,-1,-1,8,23,8,33,packages\wrappy\wrappy.js,0,32
41,Identifier,TypeError,-1,-1,-1,11,14,11,23,packages\wrappy\wrappy.js,0,33
42,Identifier,fn,-1,-1,-1,10,13,10,15,packages\wrappy\wrappy.js,0,34
43,Identifier,k,-1,-1,-1,13,36,13,37,packages\wrappy\wrappy.js,0,35
45,BlockStatement,nan,-1,-1,-1,13,39,15,3,packages\wrappy\wrappy.js,0,36
46,BlockStatement,nan,-1,-1,-1,22,49,26,5,packages\wrappy\wrappy.js,0,37
47,LogicalExpression,nan,-1,-1,-1,22,8,22,47,packages\wrappy\wrappy.js,0,38
48,Identifier,ret,-1,-1,-1,27,11,27,14,packages\wrappy\wrappy.js,0,39
49,Identifier,fn,-1,-1,-1,8,30,8,32,packages\wrappy\wrappy.js,0,40
50,Identifier,wrappy,-1,-1,-1,8,23,8,29,packages\wrappy\wrappy.js,0,41
55,AssignmentExpression,nan,-1,-1,-1,14,4,14,22,packages\wrappy\wrappy.js,0,42
56,CallExpression,nan,1,-1,-1,23,6,25,8,packages\wrappy\wrappy.js,0,43
57,UnaryExpression,nan,1,-1,-1,22,8,22,18,packages\wrappy\wrappy.js,0,44
59,Identifier,ret,-1,-1,-1,22,37,22,40,packages\wrappy\wrappy.js,0,45
60,Identifier,cb,-1,-1,-1,22,45,22,47,packages\wrappy\wrappy.js,0,46
61,MemberExpression,nan,-1,-1,-1,14,4,14,14,packages\wrappy\wrappy.js,0,47
62,MemberExpression,nan,-1,-1,-1,14,17,14,22,packages\wrappy\wrappy.js,0,48
63,FunctionExpression,nan,-1,1,0,23,30,25,7,packages\wrappy\wrappy.js,0,49
64,MemberExpression,nan,-1,-1,-1,23,6,23,29,packages\wrappy\wrappy.js,0,50
65,Identifier,ret,-1,-1,-1,22,15,22,18,packages\wrappy\wrappy.js,0,51
66,Identifier,k,-1,-1,-1,23,40,23,41,packages\wrappy\wrappy.js,0,52
68,BlockStatement,nan,-1,-1,-1,23,43,25,7,packages\wrappy\wrappy.js,0,53
