package,nodes,call_nodes,function_nodes,ast_edges,negative_ast_edges,function_edges,negative_function_edges
accepts,874,205,88,710,710,128,128
add-stream,243,45,21,196,196,12,12
ansi-html,618,116,41,469,469,60,60
ansi-html-community,564,109,39,426,426,58,58
array.prototype.reduce,616,111,34,481,481,21,21
arraybuffer.prototype.slice,528,106,31,422,422,30,30
async-lock,953,179,79,752,752,252,252
aws4,2276,534,168,1675,1675,269,269
bare-path,1475,105,27,1067,1067,40,40
base64id,122,10,3,91,91,1,1
builtins,266,79,14,215,215,1,1
check-more-types,5865,1611,435,4697,4697,474,474
compression,1429,258,126,1154,1154,116,116
cookie-parser,691,152,57,552,552,105,105
cookie-session,1556,291,147,1212,1212,138,138
cookies,2459,498,246,1929,1929,252,252
copyfiles,1065,277,80,791,791,102,102
crypto-browserify,2154,322,107,1669,1669,74,74
css.escape,292,122,3,222,222,3,3
csv-parser,759,145,59,594,594,85,85
datadog-metrics,1950,475,143,1431,1431,291,291
date-now,95,13,6,60,60,4,4
decimal.js-light,25506,9926,557,15017,15017,10234,326
define-properties,206,53,4,167,167,2,2
discontinuous-range,676,145,35,486,486,102,102
emoji-regex,148,36,7,110,110,4,4
eslint-config-standard-jsx,92,19,4,69,69,2,2
eventemitter3,1655,379,118,1213,1213,199,199
evp_bytestokey,187,33,6,144,144,2,2
express-http-proxy,5479,1139,469,4385,4385,622,622
extend,821,177,34,637,637,10,10
fast-json-parse,214,30,12,158,158,12,12
fast-redact,4021,909,196,3110,3110,139,126
faye-websocket,682,118,53,493,493,36,36
find-babel-config,924,244,88,762,762,84,84
fontfaceobserver,3204,502,227,2469,2469,151,151
get-intrinsic,611,123,37,465,465,43,43
get-symbol-description,182,33,9,151,151,10,10
glob-stream,1828,360,155,1459,1459,90,90
global-modules,45,8,3,35,35,2,2
gulplog,186,50,17,129,129,20,20
html-encoding-sniffer,526,55,21,405,405,24,24
invariant,152,36,15,110,110,5,5
is-negative-zero,96,32,4,72,72,14,14
is-number,195,26,13,148,148,12,12
is-potential-custom-element-name,56,15,3,43,43,3,3
is-url,334,103,37,259,259,68,68
is-weakmap,143,26,9,116,116,15,15
is-windows,59,9,5,47,47,5,5
isarray,174,61,5,132,132,28,28
json-schema-traverse,317,49,23,257,257,19,19
juice,3223,550,118,2514,2514,175,175
karma-chrome-launcher,325,36,24,253,253,17,17
karma-coverage,1631,319,100,1257,1257,148,148
keygrip,393,79,42,311,311,53,53
klaw-sync,1223,263,86,978,978,96,96
lazy-ass,103,23,12,75,75,12,12
linkify-it,23,7,2,17,17,2,2
loader-utils,722,78,39,570,570,39,39
make-error,293,36,14,219,219,12,12
markdown-it-container,15,3,2,10,10,2,2
mochawesome,3175,731,310,2393,2393,303,303
multipipe,444,94,37,345,345,41,41
multistream,331,68,26,267,267,6,6
node-notifier,3885,597,262,3071,3071,694,694
object.values,385,75,24,301,301,23,23
objectorarray,94,30,4,72,72,13,13
ospath,343,75,39,254,254,50,50
parallel-transform,132,14,6,100,100,4,4
parse-link-header,256,46,18,212,212,11,11
path-match,211,32,21,170,170,18,18
pause,216,52,21,161,161,15,15
pino-std-serializers,2171,454,177,1678,1678,176,176
please-upgrade-node,229,53,13,165,165,21,21
png-js,636,52,31,452,452,32,32
postcss-js,781,160,65,626,626,85,85
postcss-modules-values,223,71,34,173,173,33,33
postcss-opacity-percentage,50,5,3,42,42,2,2
postcss-resolve-nested-selector,66,3,2,57,57,1,1
promise-retry,342,71,45,291,291,43,43
redis-errors,298,61,10,220,220,16,16
regjsgen,145,32,5,119,119,13,13
request-ip,1677,354,103,1342,1342,135,135
require-from-string,170,28,10,127,127,12,12
requires-port,180,67,12,107,107,11,11
reserved-words,429,104,42,337,337,72,72
right-align,44,7,5,34,34,3,3
rw,318,46,18,268,268,20,20
safer-buffer,1583,374,106,1200,1200,161,161
serve-static,1537,323,173,808,808,185,185
set-cookie-parser,937,138,57,746,746,64,64
side-channel,231,67,10,179,179,8,8
slick-carousel,3454,417,112,2327,2327,419,219
spdy,2382,338,161,1864,1864,171,171
stack-generator,245,52,21,177,177,15,15
stackback,103,14,6,82,82,6,6
stream-http,1776,307,124,1363,1363,50,50
string.prototype.padend,318,65,21,240,240,20,20
stringstream,531,164,7,428,428,119,119
tarjan-graph,193,44,12,146,146,13,13
tcomb,11826,2636,890,9394,9394,4739,3411
thingies,168,8,11,118,118,7,7
timers-browserify,513,46,25,415,415,13,13
tiny-inflate,578,44,25,419,419,29,29
tlhunter-sorted-set,1361,449,53,876,876,315,315
to-array,47,7,3,35,35,4,4
toposort,205,32,8,174,174,5,5
typed-array-byte-offset,251,65,13,202,202,21,21
unbzip2-stream,1239,178,50,874,874,26,26
url-parse,2641,741,117,1760,1760,207,207
util-deprecate,56,5,3,49,49,2,2
validate.io-function,67,13,7,51,51,8,8
vm-browserify,380,53,24,310,310,9,9
walkdir,1039,198,77,761,761,47,47
walker,217,29,19,163,163,13,13
warning,261,51,14,204,204,17,17
webpack-node-externals,1487,377,115,1187,1187,311,311
wrappy,124,16,8,99,99,10,10
xml-name-validator,122,25,12,101,101,15,15
total,136623,32511,8186,100203,100203,23911,12462
